Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,type,gene_number,db
ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,4/9,0.01892425103163486,37.187648456057005,396.7194017686036,HSPA5;NFYB;CALR;HSP90B1,Cd2bp2,deg,425,Reactome_2022
ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,4/11,0.023957245556981078,26.559891414998305,258.66859922416984,HSPA5;NFYB;CALR;HSP90B1,Cd2bp2,deg,425,Reactome_2022
ATF6 (ATF6-alpha) Activates Chaperone Genes,4/10,0.027525143799148905,30.98812351543943,315.2775234013341,HSPA5;NFYB;CALR;HSP90B1,Cd2bp2,deg,425,Reactome_Pathways_2024
Extracellular Matrix Organization,18/300,0.027525143799148905,3.025720110826494,28.471583862277317,PRSS1;COL16A1;COL13A1;DST;PCOLCE2;COL11A1;COL22A1;BGN;CASK;LAMC2;FGF2;MFAP5;CAPN10;COL6A1;KDR;EMILIN3;ITGA8;ITGA5,Cd2bp2,deg,425,Reactome_Pathways_2024
ATF6 (ATF6-alpha) Activates Chaperones,4/12,0.027525143799148905,23.23871733966746,217.29374425844813,HSPA5;NFYB;CALR;HSP90B1,Cd2bp2,deg,425,Reactome_Pathways_2024
Retrograde Axonal Transport (GO:0008090),5/15,0.018292451610299312,23.291666666666668,266.6667124210192,DST;KIF5B;MAP1A;KIF1A;SOD1,Cd2bp2,deg,425,GO_Biological_Process_2023
mRNA Processing WP310,57/444,5.7201098027567615e-6,2.377113778882933,40.24770963027687,EIF4A2;RBM25;RBM26;CELF1;FMR1;VIRMA;TIAL1;RBM7;ILKAP;MBNL1;PABPC4;METTL3;CIRBP;PRPF40B;PTBP2;PTBP3;SRRM1;ILF3;SLTM;TUT1;RBMS1;DNAJC8;EIF4E2;ERGIC2;SLU7;RBM47;SFSWAP;POLDIP3;RBM4B;RNASET2B;BCLAF1;HNRNPDL;SAFB2;IGF2BP1;RALY;NXF7;SRPK2;TTC14;RBM39;TIA1;MYEF2;RBPMS;ZFP638;RSRC2;CLK4;DNAJC17;LSM2;PUM2;CLK2;CLK1;HNRNPA2B1;ACIN1;RNPS1;HNRNPC;EIF4G3;SUGP2;RPS24,Cd2bp2,rmats,1198,WikiPathways_2024_Mouse
Mechanisms Associated With Pluripotency WP1763,32/290,0.041409861702193136,1.9725823394098954,14.500258369055008,ATF2;KDM5C;PTPRS;RIF1;ROCK2;EHMT2;JADE1;EHMT1;RBPJ;CDC73;ZMYM2;MTA1;SIN3A;SMARCAD1;LYAR;KDM6A;PBRM1;PHC1;POU2F1;KDM4C;SMURF1;TFE3;DNMT3A;TERF2;ZFX;PML;CREB1;P4HA1;MTF2;MDM2;TRIM33;EZH2,Cd2bp2,rmats,1198,WikiPathways_2024_Mouse
Signaling By Rho GTPases R-HSA-194315,76/644,8.653146160530199e-6,2.174474655419146,39.87711344868289,TFRC;FAM13B;ITSN1;FAF2;DOCK7;PPP1CC;AKAP13;SYDE1;BAIAP2L1;DBT;SPTAN1;NDEL1;NCOA2;PLEKHG2;PPP1R12A;RALGAPA1;STARD8;ACTN1;ARHGEF19;PPP2R5B;MRTFA;SCRIB;OCRL;KCTD3;PPP2R5C;CDC25C;FAM91A1;SRRM1;NISCH;TIAM1;DYNC1LI2;CLIP1;SPATA13;PKP4;MAD1L1;ITGB3BP;GARRE1;ROCK2;SRC;SRF;MIS12;ARHGAP17;KLC1;FAM169A;PRKCZ;FGD1;ARHGAP12;ABR;ARL13B;RACGAP1;CLASP1;PAK4;CLASP2;CENPT;ACBD5;KDM4C;LIMK2;MYO9B;MACO1;PTPN13;PTK2;MPP7;KTN1;WDR11;FMNL3;CCDC88A;FAM135A;KANSL1;CENPI;SHKBP1;DLG5;ABI1;CENPL;HNRNPC;NF2;B9D2,Cd2bp2,rmats,1198,Reactome_2022
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",77/660,8.653146160530199e-6,2.1465504182586304,38.774518608412684,TFRC;FAM13B;ITSN1;FAF2;DOCK7;PPP1CC;AKAP13;SYDE1;BAIAP2L1;DBT;SPTAN1;NDEL1;NCOA2;PLEKHG2;PPP1R12A;RALGAPA1;STARD8;ACTN1;ARHGEF19;PPP2R5B;MRTFA;SCRIB;OCRL;KCTD3;PPP2R5C;CDC25C;FAM91A1;SRRM1;NISCH;TIAM1;DYNC1LI2;CLIP1;SPATA13;PKP4;MAD1L1;ITGB3BP;GARRE1;ROCK2;SRC;SRF;MIS12;ARHGAP17;KLC1;FAM169A;PRKCZ;FGD1;ARHGAP12;ABR;RHOT1;ARL13B;RACGAP1;CLASP1;PAK4;CLASP2;CENPT;ACBD5;KDM4C;LIMK2;MYO9B;MACO1;PTPN13;PTK2;MPP7;KTN1;WDR11;FMNL3;CCDC88A;FAM135A;KANSL1;CENPI;SHKBP1;DLG5;ABI1;CENPL;HNRNPC;NF2;B9D2,Cd2bp2,rmats,1198,Reactome_2022
Mitotic Prometaphase R-HSA-68877,31/186,8.31480772742158e-5,3.1957155098543275,49.19956441018963,CEP57;TUBGCP2;MIS12;PDS5B;PPP1CC;PCM1;HAUS8;PRKAR2B;CLASP1;NDEL1;CLASP2;PLK4;CENPT;NEK9;ODF2;PPP2R5B;CSNK1D;HAUS6;PPP2R5C;EML4;CLIP1;DYNC1LI2;STAG2;KANSL1;CENPI;CENPJ;AKAP9;CENPL;B9D2;MAD1L1;ITGB3BP,Cd2bp2,rmats,1198,Reactome_2022
Organelle Biogenesis And Maintenance R-HSA-1852241,38/275,3.942128965097318e-4,2.5660919540229883,34.77446396463367,CEP57;CRTC2;CRTC1;DYNLT2B;ASAP1;NRF1;PCM1;ARL13B;HAUS8;PRKAR2B;NPHP1;TBL1X;IFT57;BBS5;GABPA;CLASP1;PLK4;IQCB1;NCOA2;MTX2;SEPTIN2;ODF2;SMOX;IFT122;CSNK1D;HAUS6;TFB2M;PRKAB1;LZTFL1;ATAT1;CREB1;IFT81;CENPJ;AKAP9;TRIP11;EXOC5;B9D2;EXOC1,Cd2bp2,rmats,1198,Reactome_2022
Chromatin Modifying Enzymes R-HSA-3247509,34/238,5.301772888784762e-4,2.662943871706758,34.7036521182142,KDM5A;SUV39H2;KDM5C;SETD3;EHMT2;SETD6;JADE1;EHMT1;MTA1;RUVBL2;NSD2;KAT7;KMT5B;TBL1X;MTA3;KAT14;KDM6A;NCOA2;PBRM1;KDM4C;KDM2B;KMT5C;BRPF3;PRMT3;DNMT3A;MSL3;ARID1B;MSL1;NCOR2;TADA2A;ZZZ3;KANSL1;TADA3;EZH2,Cd2bp2,rmats,1198,Reactome_2022
Cilium Assembly R-HSA-5617833,28/186,0.0012409800793756586,2.823931623931624,33.885191719698625,CEP57;DYNLT2B;ASAP1;PCM1;ARL13B;HAUS8;PRKAR2B;NPHP1;IFT57;BBS5;CLASP1;PLK4;IQCB1;ODF2;SEPTIN2;SMOX;IFT122;CSNK1D;HAUS6;LZTFL1;ATAT1;IFT81;CENPJ;AKAP9;TRIP11;EXOC5;B9D2;EXOC1,Cd2bp2,rmats,1198,Reactome_2022
Membrane Trafficking R-HSA-199991,63/599,0.0016779834220503173,1.8915740679860609,21.83529851580499,USP6NL;MCFD2;TFRC;ITSN1;GCC2;MIA3;ARRB2;PIK3C2A;CLINT1;SLC2A8;GOLGA4;PPP6R3;ARFIP2;SPTAN1;RAB8B;COG2;TSC2;CSNK1D;OCRL;EPS15L1;GAPVD1;PRKAB1;EPN1;EPN2;GAK;RINT1;DYNC1LI2;BIN1;KIFC1;PREB;RIN3;DENND6B;EXOC5;EXOC1;RAB5C;RABGAP1;TSG101;SRC;STX16;DCTN4;GOSR2;PLA2G6;KLC1;RACGAP1;PACSIN3;TBC1D14;SNX9;EPS15;SEC31A;ANKRD27;DTNBP1;TRAPPC8;AP4B1;DAB2;SEC23IP;GOLGB1;RAB13;TRIP11;COPG2;VPS45;COPG1;SEC24C;MON1A,Cd2bp2,rmats,1198,Reactome_2022
Cell Cycle R-HSA-1640170,67/654,0.001832787716431449,1.8382444867200787,20.812010933764405,CEP57;NCAPG2;HJURP;FOXM1;PPP1CC;PCM1;HERC2;RUVBL2;CHEK2;PPP6R3;UIMC1;BTRC;POLE;NDEL1;SUN1;PPP1R12A;BORA;ESCO1;FBXW11;PPP2R5B;VRK1;HAUS6;CSNK1D;PPP2R5C;TERF1;CDC25C;TERF2;SIRT2;EML4;DYNC1LI2;CLIP1;MAU2;SHQ1;TFDP2;AKAP9;MAD1L1;ITGB3BP;MCPH1;ANAPC16;TUBGCP2;SRC;ABRAXAS1;MIS12;PDS5B;SYCE2;CHTF8;HAUS8;PRKAR2B;NSD2;E2F6;CLASP1;CLASP2;PLK4;CENPT;NEK9;ACD;CENPX;ODF2;CDK11B;RAD50;STAG2;KANSL1;CENPI;CENPJ;CENPL;MDM2;B9D2,Cd2bp2,rmats,1198,Reactome_2022
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,18/97,0.001976419153040938,3.6152542372881356,39.93530834325025,CENPT;NEK9;MIS12;PPP2R5B;PPP2R5C;EML4;PPP1CC;CLIP1;DYNC1LI2;KANSL1;CENPI;CENPL;B9D2;MAD1L1;ITGB3BP;CLASP1;NDEL1;CLASP2,Cd2bp2,rmats,1198,Reactome_2022
Mitochondrial tRNA Aminoacylation R-HSA-379726,8/21,0.001976419153040938,9.716354234001292,107.10420085332085,RARS2;AARS2;SARS2;NARS2;DARS2;TARS2;CARS2;EARS2,Cd2bp2,rmats,1198,Reactome_2022
Transcriptional Regulation By E2F6 R-HSA-8953750,10/34,0.002132546476795181,6.585998877665545,71.26257714645209,UXT;CBX5;PHC1;TFDP2;EHMT2;MGA;PCGF2;EHMT1;E2F6;EZH2,Cd2bp2,rmats,1198,Reactome_2022
DNA Repair R-HSA-73894,38/310,0.002132546476795181,2.2316810344827585,23.91360662997231,DCLRE1A;ABRAXAS1;HERC2;PPP4R2;NTHL1;CHEK2;UIMC1;NSD2;PMS2;POLI;APBB1;POLK;ASCC3;POLE;RNF111;MUTYH;ACD;CENPX;FANCM;MGMT;FANCL;ACTR5;XRCC3;REV1;FANCC;TERF1;FANCE;TERF2;SPIDR;FANCG;RAD52;RAD50;TDP2;FANCD2;MSH3;ERCC2;ERCC8;RAD18,Cd2bp2,rmats,1198,Reactome_2022
RHO GTPase Cycle R-HSA-9012999,49/441,0.002132546476795181,2.002828546562228,21.399603886462526,TFRC;FAM13B;ITSN1;FAF2;DOCK7;AKAP13;SYDE1;BAIAP2L1;DBT;SPTAN1;PLEKHG2;RALGAPA1;STARD8;ACTN1;ARHGEF19;SCRIB;OCRL;KCTD3;FAM91A1;SRRM1;NISCH;TIAM1;SPATA13;PKP4;GARRE1;ROCK2;SRC;ARHGAP17;FAM169A;FGD1;ARHGAP12;ABR;ARL13B;RACGAP1;PAK4;ACBD5;MYO9B;MACO1;PTPN13;MPP7;KTN1;WDR11;FMNL3;CCDC88A;FAM135A;SHKBP1;DLG5;ABI1;HNRNPC,Cd2bp2,rmats,1198,Reactome_2022
RHO GTPases Activate Formins R-HSA-5663220,20/119,0.0021885175406570648,3.20745656908645,33.94988632385463,CENPT;SRC;SRF;MIS12;PPP2R5B;MRTFA;PPP2R5C;FMNL3;PPP1CC;CLIP1;DYNC1LI2;KANSL1;CENPI;CENPL;B9D2;MAD1L1;ITGB3BP;CLASP1;NDEL1;CLASP2,Cd2bp2,rmats,1198,Reactome_2022
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,18/106,0.004439145699022962,3.2439522342064713,31.81812666190971,CENPT;MIS12;PPP2R5B;PDS5B;PPP2R5C;PPP1CC;CLIP1;DYNC1LI2;STAG2;KANSL1;CENPI;CENPL;B9D2;MAD1L1;ITGB3BP;CLASP1;NDEL1;CLASP2,Cd2bp2,rmats,1198,Reactome_2022
Vesicle-mediated Transport R-HSA-5653656,63/637,0.004750179435446911,1.762673256688514,17.05595412515414,USP6NL;MCFD2;TFRC;ITSN1;GCC2;MIA3;ARRB2;PIK3C2A;CLINT1;SLC2A8;GOLGA4;PPP6R3;ARFIP2;SPTAN1;RAB8B;COG2;TSC2;CSNK1D;OCRL;EPS15L1;GAPVD1;PRKAB1;EPN1;EPN2;GAK;RINT1;DYNC1LI2;BIN1;KIFC1;PREB;RIN3;DENND6B;EXOC5;EXOC1;RAB5C;RABGAP1;TSG101;SRC;STX16;DCTN4;GOSR2;PLA2G6;KLC1;RACGAP1;PACSIN3;TBC1D14;SNX9;EPS15;SEC31A;ANKRD27;DTNBP1;TRAPPC8;AP4B1;DAB2;SEC23IP;GOLGB1;RAB13;TRIP11;COPG2;VPS45;COPG1;SEC24C;MON1A,Cd2bp2,rmats,1198,Reactome_2022
