Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
Retrograde Axonal Transport (GO:0008090),5/15,0.018292451610299312,23.291666666666668,266.6667124210192,DST;KIF5B;MAP1A;KIF1A;SOD1,Cd2bp2,A3SS,deg,425,GO_Biological_Process_2023
RNA Binding (GO:0003723),39/1411,0.01849975721824046,2.0936808458323086,20.12110733572071,TOP2A;ANKRD17;UTP25;RBM26;STAU1;YTHDC1;FASTKD3;SRRT;NUDT1;NOLC1;GIGYF2;DHX30;METTL14;PCBP3;U2AF2;KHDC4;RBM12;HEATR6;ZC3H14;SMNDC1;PTCD3;CPSF4;DDX11;ALG13;RSRC2;HELZ;CSNK1E;THOC2;PPRC1;PRRC2B;ANKHD1;PUM2;SRPK1;PTBP3;DALRD3;CCDC9;GOLGB1;HNRNPC;R3HDM2,Cd2bp2,A3SS,rmats,288,GO_Molecular_Function_2023
Histone H3K9 Methyltransferase Activity (GO:0046974),3/9,0.032122093744133384,34.5719298245614,289.21026520037907,SETD5;SETDB1;EHMT2,Cd2bp2,A3SS,rmats,288,GO_Molecular_Function_2023
DNA Binding (GO:0003677),25/846,0.03926702749842884,2.1872380431913228,16.350027869702906,TOP2A;KDM3B;MPG;SRRT;PDS5B;HIF1A;PSMC3IP;PMS2;TRIM26;POLG;JMJD4;CENPX;RFC1;DDX11;NR1H2;ATRX;ARID1A;FANCG;NR2F6;SIRT3;DRAP1;TOX3;MSH3;TIMELESS;TCF4,Cd2bp2,A3SS,rmats,288,GO_Molecular_Function_2023
Carboxy-Lyase Activity (GO:0016831),4/27,0.03926702749842884,12.056950398040417,90.08322290869233,UXS1;CSAD;PPCDC;AZIN1,Cd2bp2,A3SS,rmats,288,GO_Molecular_Function_2023
DNA Repair (GO:0006281),17/291,0.0017488185127236312,4.4502114364209335,60.66339556404067,CENPX;FANCM;MPG;ACTR5;ATRX;NUDT1;FANCA;CSNK1E;PDS5B;FANCG;MSH3;TIMELESS;PMS2;POLI;ERCC8;MMS19;KMT5B,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
DNA Metabolic Process (GO:0006259),16/288,0.003445153940475361,4.204152249134948,51.544591133517834,TOP2A;ACTR5;ATRX;NUDT1;FANCA;CSNK1E;PDS5B;FANCG;ORC5;MSH3;TIMELESS;POLI;MMS19;KMT5B;NFRKB;POLG,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
DNA Damage Response (GO:0006974),18/384,0.006170289267090944,3.523861566484517,39.72152593421763,TOP2A;DDX11;ATRX;NUDT1;FANCA;HTRA2;CSNK1E;PDS5B;FANCG;FOXP1;MSH3;WAC;TIMELESS;POLI;ERCC8;MMS19;KMT5B;TRAPPC13,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),13/228,0.008253322260546852,4.286866807610994,44.896734873996955,HDAC5;PBRM1;KDM4B;SETDB1;ACTR5;ATRX;ARID1A;IWS1;HCFC1;WAC;BRD9;HNRNPC;NFRKB,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
Positive Regulation Of Double-Strand Break Repair (GO:2000781),8/84,0.008253322260546852,7.381954887218045,77.29248351097165,PBRM1;DDX11;TIMELESS;KMT5B;MMS19;TRAPPC13;FOXM1;ARID1A,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
Chromatin Organization (GO:0006325),14/268,0.008928826359427844,3.914190470716708,39.961818130187126,HDAC5;PBRM1;KDM4B;HDAC10;DDX11;ACTR5;ATRX;ARID1A;IWS1;HCFC1;WAC;BRD9;HNRNPC;NFRKB,Cd2bp2,A3SS,rmats,288,GO_Biological_Process_2023
