go,symbol
GO:0000014,ERCC1
GO:0000014,ERCC4
GO:0000014,RBBP8
GO:0000030,PIGM
GO:0000030,PIGX
GO:0000045,ATG101
GO:0000045,ATG12
GO:0000045,ATG13
GO:0000045,ATG16L1
GO:0000045,ATG16L2
GO:0000045,ATG5
GO:0000045,RB1CC1
GO:0000045,ULK1
GO:0000048,GADD45GIP1
GO:0000048,MRPL1
GO:0000048,MRPL10
GO:0000048,MRPL11
GO:0000048,MRPL12
GO:0000048,MRPL13
GO:0000048,MRPL14
GO:0000048,MRPL15
GO:0000048,MRPL16
GO:0000048,MRPL17
GO:0000048,MRPL18
GO:0000048,MRPL19
GO:0000048,MRPL2
GO:0000048,MRPL20
GO:0000048,MRPL21
GO:0000048,MRPL22
GO:0000048,MRPL23
GO:0000048,MRPL24
GO:0000048,MRPL27
GO:0000048,MRPL28
GO:0000048,MRPL3
GO:0000048,MRPL30
GO:0000048,MRPL32
GO:0000048,MRPL33
GO:0000048,MRPL34
GO:0000048,MRPL35
GO:0000048,MRPL36
GO:0000048,MRPL37
GO:0000048,MRPL38
GO:0000048,MRPL39
GO:0000048,MRPL4
GO:0000048,MRPL40
GO:0000048,MRPL41
GO:0000048,MRPL42
GO:0000048,MRPL43
GO:0000048,MRPL44
GO:0000048,MRPL45
GO:0000048,MRPL46
GO:0000048,MRPL47
GO:0000048,MRPL48
GO:0000048,MRPL49
GO:0000048,MRPL50
GO:0000048,MRPL51
GO:0000048,MRPL52
GO:0000048,MRPL53
GO:0000048,MRPL54
GO:0000048,MRPL55
GO:0000048,MRPL57
GO:0000048,MRPL58
GO:0000048,MRPL9
GO:0000048,MRPS18A
GO:0000048,MRPS30
GO:0000048,RPL10
GO:0000048,RPL10A
GO:0000048,RPL10L
GO:0000048,RPL11
GO:0000048,RPL12
GO:0000048,RPL13
GO:0000048,RPL13A
GO:0000048,RPL14
GO:0000048,RPL15
GO:0000048,RPL17
GO:0000048,RPL18
GO:0000048,RPL18A
GO:0000048,RPL19
GO:0000048,RPL21
GO:0000048,RPL23
GO:0000048,RPL23A
GO:0000048,RPL24
GO:0000048,RPL26
GO:0000048,RPL27
GO:0000048,RPL27A
GO:0000048,RPL28
GO:0000048,RPL29
GO:0000048,RPL3
GO:0000048,RPL30
GO:0000048,RPL31
GO:0000048,RPL32
GO:0000048,RPL34
GO:0000048,RPL34-PS1
GO:0000048,RPL35
GO:0000048,RPL35A
GO:0000048,RPL36
GO:0000048,RPL36A
GO:0000048,RPL36AL
GO:0000048,RPL37
GO:0000048,RPL37A
GO:0000048,RPL37RT
GO:0000048,RPL38
GO:0000048,RPL39
GO:0000048,RPL39L
GO:0000048,RPL3L
GO:0000048,RPL4
GO:0000048,RPL41
GO:0000048,RPL5
GO:0000048,RPL6
GO:0000048,RPL7
GO:0000048,RPL7A
GO:0000048,RPL8
GO:0000048,RPL9
GO:0000048,RPLP0
GO:0000048,RPLP1
GO:0000048,RPLP2
GO:0000048,UBA52
GO:0000049,AURKAIP1
GO:0000049,CHCHD1
GO:0000049,CLP1
GO:0000049,DAP3
GO:0000049,ELP1
GO:0000049,ELP2
GO:0000049,ELP3
GO:0000049,ELP4
GO:0000049,ELP5
GO:0000049,ELP6
GO:0000049,FARSA
GO:0000049,FARSB
GO:0000049,FAU
GO:0000049,GM15501
GO:0000049,HSD17B10
GO:0000049,METTL1
GO:0000049,MRPS10
GO:0000049,MRPS11
GO:0000049,MRPS12
GO:0000049,MRPS14
GO:0000049,MRPS15
GO:0000049,MRPS16
GO:0000049,MRPS17
GO:0000049,MRPS18B
GO:0000049,MRPS18C
GO:0000049,MRPS2
GO:0000049,MRPS21
GO:0000049,MRPS22
GO:0000049,MRPS23
GO:0000049,MRPS24
GO:0000049,MRPS25
GO:0000049,MRPS26
GO:0000049,MRPS27
GO:0000049,MRPS28
GO:0000049,MRPS31
GO:0000049,MRPS33
GO:0000049,MRPS34
GO:0000049,MRPS35
GO:0000049,MRPS5
GO:0000049,MRPS6
GO:0000049,MRPS7
GO:0000049,MRPS9
GO:0000049,POP1
GO:0000049,POP4
GO:0000049,POP5
GO:0000049,POP7
GO:0000049,PRORP
GO:0000049,PTCD3
GO:0000049,RACK1
GO:0000049,RPP14
GO:0000049,RPP21
GO:0000049,RPP25
GO:0000049,RPP30
GO:0000049,RPP38
GO:0000049,RPP40
GO:0000049,RPS10
GO:0000049,RPS11
GO:0000049,RPS12
GO:0000049,RPS13
GO:0000049,RPS14
GO:0000049,RPS15
GO:0000049,RPS15A
GO:0000049,RPS16
GO:0000049,RPS17
GO:0000049,RPS18
GO:0000049,RPS19
GO:0000049,RPS2
GO:0000049,RPS20
GO:0000049,RPS21
GO:0000049,RPS23
GO:0000049,RPS24
GO:0000049,RPS25
GO:0000049,RPS26
GO:0000049,RPS27A
GO:0000049,RPS28
GO:0000049,RPS29
GO:0000049,RPS3
GO:0000049,RPS3A
GO:0000049,RPS3A1
GO:0000049,RPS4X
GO:0000049,RPS5
GO:0000049,RPS6
GO:0000049,RPS7
GO:0000049,RPS8
GO:0000049,RPS9
GO:0000049,RPSA
GO:0000049,TRMT10C
GO:0000049,TRMT6
GO:0000049,TRMT61A
GO:0000049,TSEN15
GO:0000049,TSEN2
GO:0000049,TSEN34
GO:0000049,TSEN54
GO:0000049,WDR4
GO:0000076,RAD17
GO:0000076,RFC2
GO:0000076,RFC3
GO:0000076,RFC4
GO:0000076,RFC5
GO:0000077,HUS1
GO:0000077,RAD1
GO:0000077,RAD9A
GO:0000082,CCNA2
GO:0000082,CCND1
GO:0000082,CCND2
GO:0000082,CCND3
GO:0000082,CCNE1
GO:0000082,CCNE2
GO:0000082,CDK1
GO:0000082,CDK2
GO:0000082,CDK4
GO:0000082,CDK6
GO:0000082,CUL1
GO:0000082,RBX1
GO:0000082,SKP1
GO:0000082,SKP2
GO:0000086,CCNA2
GO:0000086,CCNB1
GO:0000086,CCNB2
GO:0000086,CCNB3
GO:0000086,CDK1
GO:0000086,CDK2
GO:0000109,CUL4A
GO:0000109,CUL4B
GO:0000109,DDB1
GO:0000109,ERCC8
GO:0000109,RBX1
GO:0000118,DNTTIP1
GO:0000118,HDAC1
GO:0000118,HDAC2
GO:0000118,MIDEAS
GO:0000118,MIER1
GO:0000118,MIER2
GO:0000122,AEBP2
GO:0000122,ARID4A
GO:0000122,ARID4B
GO:0000122,ATF2
GO:0000122,ATF3
GO:0000122,BACH1
GO:0000122,BACH2
GO:0000122,BIN1
GO:0000122,BRMS1
GO:0000122,BRMS1L
GO:0000122,CEBPA
GO:0000122,CEBPB
GO:0000122,CTNNB1
GO:0000122,CTNNBIP1
GO:0000122,CUL2
GO:0000122,DDIT3
GO:0000122,DR1
GO:0000122,DRAP1
GO:0000122,E2F6
GO:0000122,EED
GO:0000122,ELOB
GO:0000122,ELOC
GO:0000122,EPOP
GO:0000122,EZH1
GO:0000122,EZH2
GO:0000122,FOXO3
GO:0000122,HDAC1
GO:0000122,HDAC2
GO:0000122,ING1
GO:0000122,ING2
GO:0000122,JARID2
GO:0000122,JDP2
GO:0000122,JUND
GO:0000122,LCOR
GO:0000122,MAF
GO:0000122,MAFB
GO:0000122,MAFF
GO:0000122,MAFG
GO:0000122,MAFK
GO:0000122,MAX
GO:0000122,MEN1
GO:0000122,MGA
GO:0000122,MLX
GO:0000122,MNT
GO:0000122,MTF2
GO:0000122,MXD1
GO:0000122,MXD3
GO:0000122,MXD4
GO:0000122,MXI1
GO:0000122,MYC
GO:0000122,NKX2-5
GO:0000122,OGT
GO:0000122,PHF1
GO:0000122,PHF19
GO:0000122,RBBP4
GO:0000122,RBBP7
GO:0000122,RBX1
GO:0000122,SAP130
GO:0000122,SAP30
GO:0000122,SAP30L
GO:0000122,SIN3A
GO:0000122,SIN3B
GO:0000122,SINHCAF
GO:0000122,SUDS3
GO:0000122,SUZ12
GO:0000122,TET1
GO:0000122,TFDP1
GO:0000122,VHL
GO:0000122,YWHAZ
GO:0000123,ING4
GO:0000123,ING5
GO:0000123,JADE1
GO:0000123,JADE2
GO:0000123,JADE3
GO:0000123,KAT7
GO:0000123,MEAF6
GO:0000124,ATXN7
GO:0000124,ATXN7L3
GO:0000124,ENY2
GO:0000124,KAT2A
GO:0000124,KAT2B
GO:0000124,SF3B3
GO:0000124,SF3B5
GO:0000124,SGF29
GO:0000124,SUPT20
GO:0000124,SUPT20H
GO:0000124,SUPT3
GO:0000124,SUPT3H
GO:0000124,SUPT7L
GO:0000124,TADA1
GO:0000124,TADA2A
GO:0000124,TADA2B
GO:0000124,TADA3
GO:0000124,TAF10
GO:0000124,TAF12
GO:0000124,TAF5L
GO:0000124,TAF6L
GO:0000124,TAF9
GO:0000124,TRRAP
GO:0000124,USP22
GO:0000126,BDP1
GO:0000126,BRF1
GO:0000126,BRF2
GO:0000126,TBP
GO:0000127,GTF3C1
GO:0000127,GTF3C2
GO:0000127,GTF3C3
GO:0000127,GTF3C4
GO:0000127,GTF3C5
GO:0000127,GTF3C6
GO:0000139,APH1A
GO:0000139,APH1B
GO:0000139,ARCN1
GO:0000139,ATP6AP1
GO:0000139,ATP6AP2
GO:0000139,ATP6V0A2
GO:0000139,ATP6V0B
GO:0000139,ATP6V0C
GO:0000139,ATP6V1A
GO:0000139,ATP6V1D
GO:0000139,ATP6V1F
GO:0000139,ATP6V1H
GO:0000139,COPA
GO:0000139,COPB1
GO:0000139,COPB2
GO:0000139,COPE
GO:0000139,COPG1
GO:0000139,COPG2
GO:0000139,COPZ1
GO:0000139,COPZ2
GO:0000139,FKRP
GO:0000139,FKTN
GO:0000139,LALBA
GO:0000139,NCSTN
GO:0000139,OSBP
GO:0000139,PSENEN
GO:0000139,RNASEK
GO:0000139,RXYLT1
GO:0000139,VAPA
GO:0000145,EXOC1
GO:0000145,EXOC2
GO:0000145,EXOC3
GO:0000145,EXOC4
GO:0000145,EXOC5
GO:0000145,EXOC6
GO:0000145,EXOC6B
GO:0000145,EXOC7
GO:0000145,EXOC8
GO:0000151,FBXO45
GO:0000151,KCMF1
GO:0000151,MAVS
GO:0000151,MYCBP2
GO:0000151,PEX10
GO:0000151,PEX12
GO:0000151,PEX2
GO:0000151,RNF123
