term,significance,p_value,odds_ratio,se_forming_complex,se_not_forming_complex,all_go_genes_forming_complex,all_go_genes_not_forming_complex
DNA Damage Response (GO:0006974),NO,0.7950348870807424,0.713194608464966,4,104,17,315
DNA Metabolic Process (GO:0006259),NO,1,0,0,94,0,12
DNA Repair (GO:0006281),NO,0.4533929966238739,0.3698776675829338,1,96,7,248
GTPase Binding (GO:0051020),NO,1,0,0,80,0,47
Intracellular Membrane-Bounded Organelle (GO:0043231),NO,1,0,0,1080,0,951
Mitotic Spindle (GO:0072686),NO,0.567557745712798,1.3182041002320701,5,42,11,122
Nucleus (GO:0005634),YES,4.9812904391416135e-8,1.816153463617009,134,803,487,5301
RNA Binding (GO:0003723),NO,0.09769820153908944,0.488042582005817,7,361,26,654
Small GTPase Binding (GO:0031267),NO,1,0,0,73,0,300
Spindle (GO:0005819),NO,1,0,0,53,0,137
