ko_symbol,significance,p_value,odds_ratio,spliced_genes_forming_complex,spliced_genes_not_forming_complex,non_spliced_genes_forming_complex,non_spliced_genes_not_forming_complex
Cd2bp2,YES,7.864650222157653e-23,1.7977839543462497,454,1574,2705,16861
Qk,YES,2.9963697085454545e-26,2.0224752512392694,372,1143,2766,17189
Rbm24,YES,1.0660118811842461e-19,1.7837375140748262,390,1351,2754,17018
Rpl22l1,YES,1.5315612882641653e-21,1.8257867550431996,401,1358,2751,17011
Spen,YES,3.163869666754096e-23,1.8698252446472483,408,1352,2750,17039
Strap,YES,1.1769976109797648e-23,2.017564838899865,332,1019,2793,17296
Tra2b,YES,6.506452806752712e-36,2.407656479647963,351,908,2789,17371
Trim71,YES,9.199436892247235e-30,2.1329782675898348,373,1090,2764,17229
Ubr5,YES,1.699628438271537e-23,1.8733100321258909,409,1364,2729,17049
Wt1,YES,8.253100270161937e-26,1.9201891467971706,424,1375,2735,17031
Ybx1,YES,3.785483255810656e-34,2.2748676277530553,374,1030,2759,17286
