ko_symbol,event,significance,p_value,odds_ratio,spliced_genes_forming_complex,spliced_genes_not_forming_complex,non_spliced_genes_forming_complex,non_spliced_genes_not_forming_complex
Cd2bp2,A3SS,YES,6.957880768894637e-5,1.7965335233749227,67,221,3017,17879
Cd2bp2,A5SS,NO,0.21078316752297765,1.2687221992196651,33,153,3051,17947
Cd2bp2,MXE,YES,0.0482397705697666,1.7051128012586214,20,69,3064,18025
Cd2bp2,RI,YES,1.1535822470624324e-6,2.069465740422614,69,198,3015,17905
Cd2bp2,SE,YES,4.0354555713507057e-13,1.7318324933894698,265,933,2819,17189
Qk,A3SS,YES,1.0264692694395167e-5,2.045595916586047,58,168,3026,17930
Qk,A5SS,YES,0.04713991093854477,1.5699384929606781,28,105,3056,17992
Qk,MXE,YES,0.00204419715542863,2.3555533292651516,20,50,3064,18044
Qk,RI,YES,1.0173217818767687e-5,2.073931134620703,56,160,3028,17943
Qk,SE,YES,2.2570770654449542e-14,1.9321254588055792,210,660,2874,17452
Rbm24,A3SS,YES,3.059850133417123e-5,1.8488111745962994,68,218,3016,17877
Rbm24,A5SS,YES,0.0039571112598799614,1.7846929779955487,36,119,3048,17982
Rbm24,MXE,YES,4.160092063236447e-5,2.949282704941351,25,50,3059,18045
Rbm24,RI,YES,1.809817668915391e-4,1.8692888046981186,54,171,3030,17937
Rbm24,SE,YES,6.794705655884879e-8,1.5716059905186157,207,793,2877,17322
Rpl22l1,A3SS,YES,7.173575752192203e-4,1.7339293973169874,56,191,3028,17908
Rpl22l1,A5SS,NO,0.05549197126783084,1.472114625174216,32,128,3052,17972
Rpl22l1,MXE,YES,0.044664556830835894,1.8765019935824594,15,47,3069,18046
Rpl22l1,RI,YES,2.3549344419134174e-10,2.5410366847881036,78,183,3006,17922
Rpl22l1,SE,YES,1.3880973847263726e-9,1.64308374229751,220,809,2864,17305
Spen,A3SS,YES,0.0066532672528667415,1.5319820068016872,55,212,3029,17887
Spen,A5SS,YES,4.49855017913672e-6,2.2847161075299796,49,127,3035,17973
Spen,MXE,YES,0.01640532339273369,2.091777006937067,16,45,3068,18050
Spen,RI,YES,3.5652073729084337e-7,2.1716345609664094,68,186,3016,17916
Spen,SE,YES,1.3843155887931443e-10,1.7016781567981463,220,782,2864,17324
Strap,A3SS,YES,3.1799685581459634e-6,2.1652967413747635,57,156,3027,17939
Strap,A5SS,YES,0.010996311138873763,1.8075238114882537,27,88,3057,18010
Strap,MXE,NO,0.2863801307261158,1.382020168256186,12,51,3072,18044
Strap,RI,YES,1.9524158743993526e-4,1.9446844309339404,48,146,3036,17958
Strap,SE,YES,1.0485069330214333e-13,1.9691744412001604,188,578,2896,17533
Tra2b,A3SS,YES,1.2415544876440668e-7,2.4783338638105556,56,134,3028,17958
Tra2b,A5SS,YES,1.0827087762258754e-6,2.9558397614773826,35,70,3049,18026
Tra2b,MXE,NO,0.2503762267619113,1.468156075809972,11,44,3073,18047
Tra2b,RI,YES,2.795150947356363e-9,2.72171333823173,60,131,3024,17970
Tra2b,SE,YES,6.364215789220586e-17,2.168871267481473,189,529,2895,17575
Trim71,A3SS,YES,3.171773789221208e-9,2.484387871562341,71,170,3013,17924
Trim71,A5SS,NO,0.060091054759228234,1.4970824605357655,30,118,3054,17984
Trim71,MXE,YES,0.04323794212084822,2.011278346767389,13,38,3071,18055
Trim71,RI,YES,4.690488024970313e-15,3.387070012225901,76,134,3008,17965
Trim71,SE,YES,6.479955209836229e-10,1.7502091054183957,183,630,2901,17480
Ubr5,A3SS,YES,8.00845999364981e-5,1.810388383915361,66,216,3018,17882
Ubr5,A5SS,YES,0.038806389235179976,1.532463833417043,32,123,3052,17978
Ubr5,MXE,YES,0.03229372052496159,1.920264938875801,16,49,3068,18044
Ubr5,RI,YES,9.976330096567076e-8,2.225266483117188,70,187,3014,17918
Ubr5,SE,YES,2.7361113471851137e-11,1.7277283302054813,225,789,2859,17322
Wt1,A3SS,YES,6.7154933292702985e-6,1.9590765209403227,69,209,3015,17891
Wt1,A5SS,YES,0.0030681883930743633,1.756966625474966,39,131,3045,17971
Wt1,MXE,YES,0.0023643318835018206,2.3335124092185895,21,53,3063,18040
Wt1,RI,YES,1.4964357318976537e-5,1.9984282799665634,59,175,3025,17931
Wt1,SE,YES,8.073680300710693e-13,1.7767670611761102,236,807,2848,17304
Ybx1,A3SS,YES,9.48784651338315e-6,2.0581833340111904,58,167,3026,17933
Ybx1,A5SS,YES,3.464409896013344e-5,2.4615802216439664,35,84,3049,18013
Ybx1,MXE,NO,0.7050747306596569,1.1237363337281117,9,47,3075,18046
Ybx1,RI,YES,8.50237575487487e-11,2.8310389952679396,68,143,3016,17957
Ybx1,SE,YES,3.922829388185098e-17,2.1066405981550003,204,589,2880,17518
