ko_symbol,event,significance,p_value,odds_ratio,spliced_genes_forming_complex,spliced_genes_not_forming_complex,non_spliced_genes_forming_complex,non_spliced_genes_not_forming_complex
Cd2bp2,A3SS,YES,0.014742112330908335,1.700878468110063,27,261,1198,19698
Cd2bp2,A5SS,NO,0.05693475502494652,1.6478797587956904,17,169,1208,19790
Cd2bp2,MXE,NO,0.36069471471859793,1.392658671243988,7,82,1218,19871
Cd2bp2,RI,YES,0.0050242649655475044,1.8518515545373762,27,240,1198,19722
Cd2bp2,SE,NO,0.08486412232231964,1.2297363241544568,83,1115,1142,18866
Qk,A3SS,YES,0.003783632114324254,1.9542504173564854,24,202,1201,19755
Qk,A5SS,NO,0.19466535562659235,1.473024148338326,11,122,1214,19834
Qk,MXE,YES,0.019121613476668384,2.413299503826016,9,61,1216,19892
Qk,RI,NO,0.07592812023755421,1.5805955476853062,19,197,1206,19765
Qk,SE,YES,0.007438046443903919,1.4284638816257886,69,801,1156,19170
Rbm24,A3SS,YES,2.9754797063128966e-5,2.308634043823705,35,251,1190,19703
Rbm24,A5SS,NO,0.05395345835616978,1.754954397298852,15,140,1210,19820
Rbm24,MXE,YES,0.003759899017168089,2.8157546921697088,11,64,1214,19890
Rbm24,RI,YES,0.014223507432514087,1.7804100853977416,22,203,1203,19764
Rbm24,SE,NO,0.07083616274412184,1.26128195842966,71,929,1154,19045
Rpl22l1,A3SS,NO,0.4118830716189954,1.2070702461478557,17,230,1208,19728
Rpl22l1,A5SS,NO,1,0.9708969219182205,9,151,1216,19808
Rpl22l1,MXE,NO,0.17257810708595878,1.7486768669077073,6,56,1219,19896
Rpl22l1,RI,YES,3.245666323228285e-6,2.5685044477005237,35,226,1190,19738
Rpl22l1,SE,YES,0.019682486560248964,1.3400982118462121,77,952,1148,19021
Spen,A3SS,NO,0.23322240573547898,1.3244868580820695,20,247,1205,19711
Spen,A5SS,YES,0.00844403617850907,1.9870046320113146,19,157,1206,19802
Spen,MXE,YES,0.008072409994989078,2.8324867479945754,9,52,1216,19902
Spen,RI,YES,1.0484616385757339e-4,2.2979002852773993,31,223,1194,19738
Spen,SE,YES,0.031232022122680492,1.3188608671266593,74,928,1151,19037
Strap,A3SS,YES,3.027416776588541e-4,2.292075396756471,26,187,1199,19767
Strap,A5SS,NO,0.16325633249153385,1.556044145757914,10,105,1215,19852
Strap,MXE,NO,0.1792236102142886,1.7180851507776589,6,57,1219,19897
Strap,RI,YES,0.0050336508648597756,1.9951478298400287,21,173,1204,19790
Strap,SE,YES,6.695226250699935e-4,1.5950656964374255,67,699,1158,19271
Tra2b,A3SS,YES,1.1608650331097378e-4,2.4980589039996555,25,165,1200,19786
Tra2b,A5SS,YES,0.0028891613833202183,2.523349120470074,14,91,1211,19864
Tra2b,MXE,NO,1,0.9394140710859321,3,52,1222,19898
Tra2b,RI,YES,5.363797767083453e-6,2.840804280373018,28,163,1197,19797
Tra2b,SE,YES,9.44648405160959e-6,1.8366467747605233,71,647,1154,19316
Trim71,A3SS,YES,1.0534006891582975e-5,2.5337633702788325,32,209,1193,19744
Trim71,A5SS,NO,0.07319409608389577,1.7104903194700642,14,134,1211,19827
Trim71,MXE,YES,0.02663479415401128,2.600071938670936,7,44,1218,19908
Trim71,RI,YES,4.857135104527708e-8,3.2083596440041577,34,176,1191,19782
Trim71,SE,YES,2.141588590460463e-4,1.646572370629477,73,740,1152,19229
Ubr5,A3SS,YES,2.621150194830265e-4,2.1142668818083776,32,250,1193,19707
Ubr5,A5SS,NO,0.2966385578521382,1.370917680889084,12,143,1213,19817
Ubr5,MXE,YES,0.003959915637258088,2.9772190405827352,10,55,1215,19897
Ubr5,RI,YES,0.0027259020769000424,1.9336740601284528,27,230,1198,19734
Ubr5,SE,YES,0.0045894189768930565,1.4239741604623553,80,934,1145,19036
Wt1,A3SS,YES,0.0025533773453968924,1.919311371963948,29,249,1196,19710
Wt1,A5SS,NO,0.18324982367625933,1.4676408650986041,14,156,1211,19805
Wt1,MXE,NO,0.6182354018787652,1.1809700311409836,5,69,1220,19883
Wt1,RI,YES,0.04671984649943479,1.617367064156785,21,213,1204,19752
Wt1,SE,YES,7.508333622001416e-5,1.6030313318923206,91,952,1134,19018
Ybx1,A3SS,YES,0.0021347853535432235,2.0581337379900946,25,200,1200,19759
Ybx1,A5SS,YES,0.0044267521389941954,2.3663100658018394,15,104,1210,19852
Ybx1,MXE,NO,0.25742861678203344,1.5991845293759788,5,51,1220,19901
Ybx1,RI,YES,1.3673242699690306e-4,2.4219468345225055,27,184,1198,19775
Ybx1,SE,YES,1.192218567111781e-6,1.886638041482991,80,713,1145,19253
