term,significance,p_value,odds_ratio,se_forming_complex,se_not_forming_complex,all_go_genes_forming_complex,all_go_genes_not_forming_complex
DNA Damage Response (GO:0006974),NO,0.17258719605760062,1.4642793695346656,28,80,64,268
DNA Metabolic Process (GO:0006259),NO,1,0,0,94,0,12
DNA Repair (GO:0006281),NO,0.10152911188737854,1.5332202863424806,40,57,80,175
GTPase Binding (GO:0051020),NO,1,0,0,80,0,47
Intracellular Membrane-Bounded Organelle (GO:0043231),NO,1,Inf,1,1079,0,951
Mitotic Spindle (GO:0072686),NO,1,0,0,47,0,133
Nucleus (GO:0005634),YES,1.69992120840284e-16,1.8999567120269725,323,614,1255,4533
RNA Binding (GO:0003723),NO,0.13351025098741587,0.7567945294769126,50,318,117,563
Small GTPase Binding (GO:0031267),NO,1,0,0,73,0,300
Spindle (GO:0005819),NO,1,0,0,53,0,137
