ko_symbol,event,significance,p_value,odds_ratio,spliced_genes_forming_complex,spliced_genes_not_forming_complex,non_spliced_genes_forming_complex,non_spliced_genes_not_forming_complex
Cd2bp2,A3SS,YES,4.210526293394531e-9,2.081267195861589,118,170,5226,15670
Cd2bp2,A5SS,YES,0.013644562293507448,1.4880393641248184,62,124,5281,15717
Cd2bp2,MXE,YES,0.0268666373504158,1.667780337494101,32,57,5311,15778
Cd2bp2,RI,YES,4.9058760337064573e-5,1.7047539054252896,97,170,5246,15674
Cd2bp2,SE,YES,1.7290229996272775e-17,1.7264383955926454,431,767,4913,15095
Qk,A3SS,YES,1.0471721595243146e-9,2.3355159052619614,99,127,5244,15712
Qk,A5SS,YES,4.581995444546109e-6,2.306451444203053,58,75,5285,15763
Qk,MXE,YES,7.922951123320983e-5,2.653359438655266,33,37,5310,15798
Qk,RI,YES,3.664596860440543e-5,1.8272157168410468,82,134,5261,15710
Qk,SE,YES,8.892112206727347e-26,2.151172231602862,358,512,4986,15340
Rbm24,A3SS,YES,9.851088630209548e-8,1.956192471809016,113,173,5230,15663
Rbm24,A5SS,YES,1.9020349552193445e-4,1.8823904805621712,60,95,5283,15747
Rbm24,MXE,YES,0.0107861980130896,1.8726569342734447,29,46,5315,15789
Rbm24,RI,YES,4.971899863569837e-4,1.6458004045830905,80,145,5264,15703
Rbm24,SE,YES,2.6406339321638023e-14,1.701367377937846,358,642,4986,15213
Rpl22l1,A3SS,YES,1.2517847957645222e-7,2.035622011524082,100,147,5244,15692
Rpl22l1,A5SS,NO,0.05511161864223787,1.3909143071461305,51,109,5292,15732
Rpl22l1,MXE,YES,0.01864722514164077,1.8754743745339695,24,38,5319,15796
Rpl22l1,RI,YES,4.146640223455858e-9,2.149626227030115,109,152,5235,15693
Rpl22l1,SE,YES,1.3795787282406822e-14,1.700250561805385,368,661,4975,15194
Spen,A3SS,YES,1.8358740300364707e-5,1.760599260753773,99,168,5245,15671
Spen,A5SS,YES,1.0656431983852929e-5,2.017802623145436,71,105,5273,15735
Spen,MXE,NO,0.18416455792723124,1.447077651947177,20,41,5324,15794
Spen,RI,YES,6.183333996815795e-7,1.942637239117594,100,154,5244,15688
Spen,SE,YES,2.9071708486290796e-16,1.7662823951005555,367,635,4977,15211
Strap,A3SS,YES,6.502560394384666e-7,2.0637936135074333,87,126,5256,15710
Strap,A5SS,YES,5.056375055629993e-4,1.9847892590261689,46,69,5297,15770
Strap,MXE,YES,0.012658025819581644,1.954417692517254,25,38,5318,15798
Strap,RI,YES,1.218328378098923e-4,1.7999783548710797,73,121,5270,15724
Strap,SE,YES,2.563791171533237e-18,1.9754528529290776,301,465,5042,15387
Tra2b,A3SS,YES,9.243222515524788e-14,3.0631754312560138,96,94,5247,15739
Tra2b,A5SS,YES,2.648128017808872e-8,3.0411029377234065,53,52,5290,15785
Tra2b,MXE,YES,1.3641778104327756e-4,2.8666567998949377,27,28,5316,15804
Tra2b,RI,YES,9.28607825303294e-7,2.107732706962447,79,112,5264,15730
Tra2b,SE,YES,1.275693370268195e-27,2.3715653554554286,313,405,5031,15439
Trim71,A3SS,YES,1.8937914961492174e-14,2.788986492627766,116,125,5227,15710
Trim71,A5SS,YES,0.0022683392601512034,1.7105373035034586,54,94,5289,15749
Trim71,MXE,YES,0.014259988801988225,2.0786738975473806,21,30,5322,15804
Trim71,RI,YES,1.196196833092262e-10,2.5237813447718938,96,114,5247,15726
Trim71,SE,YES,1.411527702897851e-16,1.878736526731329,310,503,5034,15347
Ubr5,A3SS,YES,1.8522240220998317e-10,2.223289317199154,120,162,5223,15677
Ubr5,A5SS,YES,0.007021893822068147,1.5911839763176359,54,101,5289,15741
Ubr5,MXE,NO,0.06355497922723886,1.6255216626780127,23,42,5320,15792
Ubr5,RI,YES,2.2238148131109165e-6,1.8743405440912837,99,158,5244,15688
Ubr5,SE,YES,9.234266973583212e-15,1.7097532795879498,364,650,4979,15202
Wt1,A3SS,YES,3.367848285550713e-9,2.1157197063794824,115,163,5228,15678
Wt1,A5SS,YES,0.0013174751965114079,1.7104317388115533,62,108,5281,15735
Wt1,MXE,NO,0.059626016438665094,1.608149909807909,26,48,5317,15786
Wt1,RI,YES,5.3370064608340093e-5,1.7677817625545258,87,147,5256,15700
Wt1,SE,YES,8.910724875610193e-22,1.9135924038485603,400,643,4944,15208
Ybx1,A3SS,YES,3.7500384710467476e-13,2.7227827967114995,107,118,5236,15723
Ybx1,A5SS,YES,7.154390425826056e-5,2.1588068220411882,50,69,5293,15769
Ybx1,MXE,NO,0.16399869506777656,1.5236274045905214,19,37,5324,15797
Ybx1,RI,YES,3.8127035895255846e-8,2.2258153836574808,90,121,5253,15720
Ybx1,SE,YES,9.185141706106856e-29,2.321386024792642,341,452,5003,15395
