ko_symbol,event,significance,p_value,odds_ratio,spliced_genes_forming_complex,spliced_genes_not_forming_complex,non_spliced_genes_forming_complex,non_spliced_genes_not_forming_complex
Cd2bp2,A3SS,NO,0.10254555325591816,1.372551364922943,31,257,1688,19208
Cd2bp2,A5SS,NO,0.17789456461580522,1.3685279721496146,20,166,1699,19299
Cd2bp2,MXE,NO,0.07656792086532888,1.7694566835448948,12,77,1707,19382
Cd2bp2,RI,NO,0.42978941937258835,1.1724555534056909,25,242,1694,19226
Cd2bp2,SE,NO,0.11372874899648351,1.1808886577759135,112,1086,1607,18401
Qk,A3SS,YES,0.004395191226950298,1.8145687881024828,31,195,1688,19268
Qk,A5SS,NO,0.05509947517357516,1.6657406734089117,17,116,1702,19346
Qk,MXE,YES,0.012801598781031237,2.3514925387577184,12,58,1707,19401
Qk,RI,NO,0.3795132207255404,1.2223383817756248,21,195,1698,19273
Qk,SE,YES,2.260079883552541e-4,1.5185573388961875,101,769,1618,18708
Rbm24,A3SS,YES,0.01577015974727503,1.5905301265237664,35,251,1684,19209
Rbm24,A5SS,NO,0.1841088168204097,1.3988994648459803,17,138,1702,19328
Rbm24,MXE,NO,0.39445598376214275,1.3533212519569506,8,67,1711,19393
Rbm24,RI,NO,0.9020924888094743,0.9251135497964862,17,208,1702,19265
Rbm24,SE,NO,0.2353900918930932,1.141958816597542,91,909,1628,18571
Rpl22l1,A3SS,NO,0.1596428556934964,1.3371752907461418,26,221,1693,19243
Rpl22l1,A5SS,YES,0.013032487312753745,1.8155536876399756,22,138,1697,19327
Rpl22l1,MXE,NO,0.8167745150381203,0.7801252255673105,4,58,1715,19400
Rpl22l1,RI,NO,0.13642828203518387,1.3670560682368318,28,233,1691,19237
Rpl22l1,SE,YES,0.034826108510764044,1.2623960317993361,102,927,1617,18552
Spen,A3SS,NO,0.4298615062913924,1.172211635126951,25,242,1694,19222
Spen,A5SS,NO,0.20968750612625175,1.3744610986558563,19,157,1700,19308
Spen,MXE,NO,0.2368770415780122,0.3830408542068036,2,59,1717,19401
Spen,RI,NO,0.5627678510951416,1.1292729754914879,23,231,1696,19236
Spen,SE,YES,0.0016341320800370024,1.4084394961506368,109,893,1610,18578
Strap,A3SS,NO,0.8011931935327781,1.0454597271067056,18,195,1701,19265
Strap,A5SS,NO,0.3884656716465048,1.321323053633359,12,103,1707,19360
Strap,MXE,NO,0.3535099956452252,1.4167268148746808,7,56,1712,19404
Strap,RI,NO,0.8949447073866632,1.0182180100953908,16,178,1703,19291
Strap,SE,YES,0.004541274110648591,1.4157480964284412,84,682,1635,18794
Tra2b,A3SS,YES,4.0266493031815736e-5,2.405959707902689,33,157,1686,19300
Tra2b,A5SS,YES,4.030669908652247e-4,2.6831684053640266,20,85,1699,19376
Tra2b,MXE,YES,0.04134633964952504,2.2208575454318797,9,46,1710,19410
Tra2b,RI,NO,0.6886985193344145,1.107407208763572,17,174,1702,19292
Tra2b,SE,NO,0.06023292010024546,1.2737652906829409,72,646,1647,18823
Trim71,A3SS,YES,0.017368679079996723,1.6202412658901377,30,211,1689,19248
Trim71,A5SS,YES,0.04733903710398158,1.6753724793119604,19,129,1700,19338
Trim71,MXE,NO,0.6052723214942132,1.231024095625861,5,46,1714,19412
Trim71,RI,NO,0.7989938685774651,1.0621895267563919,18,192,1701,19272
Trim71,SE,YES,0.015214612824265828,1.3395505904310134,85,728,1634,18747
Ubr5,A3SS,YES,0.011220771937680627,1.6168770169600475,35,247,1684,19216
Ubr5,A5SS,NO,0.1841088168204097,1.3988994648459803,17,138,1702,19328
Ubr5,MXE,NO,1,0.943116396741454,5,60,1714,19398
Ubr5,RI,NO,0.3014734021177457,0.7496092380285331,16,241,1703,19229
Ubr5,SE,YES,0.018178134657440656,1.2988696998034743,103,911,1616,18565
Wt1,A3SS,YES,0.04557990310324152,1.4818958700380027,32,246,1687,19219
Wt1,A5SS,NO,0.08909149581828317,1.5159020587654777,20,150,1699,19317
Wt1,MXE,NO,1,0.9987638361471157,6,68,1713,19390
Wt1,RI,NO,0.46887331442903146,1.1777003506468962,22,212,1697,19259
Wt1,SE,YES,0.0020221664838295625,1.388257287423764,112,931,1607,18545
Ybx1,A3SS,YES,0.001901378388356143,1.8941191344857982,32,193,1687,19272
Ybx1,A5SS,NO,0.08900385839729813,1.6384514783933815,15,104,1704,19358
Ybx1,MXE,NO,0.21808233267208227,1.6195186230839462,7,49,1712,19409
Ybx1,RI,NO,0.6117700858350368,1.1218781702568421,19,192,1700,19273
Ybx1,SE,YES,1.9322884389216832e-4,1.553519783866788,94,699,1625,18773
