ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Cellular_Component_2023,Nucleus (GO:0005634),136/4487,1.548189421465902e-20,3.4322618774009257,175.16600224489028,ATF2;GEMIN2;FMR1;JADE1;DCAF8;SMC5;RBPJ;RPL10A;VIRMA;UXT;PPP1CC;STK11;PPP4R2;RUVBL2;KAT7;CCNL2;KDM2B;FBXW11;NSMCE2;METTL3;TSC2;ARMC8;PRKAB1;GTF2F2;THOC7;MED7;THOC6;MAU2;RRAGB;BIN1;FANCD2;MSH3;GEMIN5;GEMIN8;ISCU;MYCBP2;COPS7B;PDS5B;OSGEP;BAG6;IRAK1;MIER1;KAT14;BPTF;CHTOP;PHC1;FANCL;BRPF3;XRCC3;FANCC;RFXANK;FANCE;LSM2;STAG1;DLG1;STAG2;TADA2A;LSM6;CNOT2;TADA3;MDM2;RNPS1;CDK12;RPS24;EZH2;EIF4G1;RBM26;NCAPG2;ZBTB8OS;FOXM1;MED15;CDC73;MED14;METTL14;SIN3A;UIMC1;SNAPC4;RBM7;POLE;KDM6A;TOP3B;NCOA2;PBRM1;TBP;STRADA;STRADB;ACTR5;DNMT3A;MSL3;TERF1;TERF2;TTI2;MSL1;MED22;CREB1;TFDP2;MED20;MTF2;ERGIC2;ITGB3BP;BIRC2;LAMA5;POLDIP3;ABRAXAS1;MIS12;AMBRA1;RMND5B;CECR2;BCLAF1;NFS1;MTA1;HAUS8;IGF2BP1;PCGF1;PMS2;ASCC3;MTA3;E2F6;PMS1;SLF1;TRMT10B;NAA10;PCGF5;SEPTIN2;NFYC;PCGF2;TPRKB;DTNBP1;APTX;RAD50;KANSL1;ERCC2;ERCC8;ACIN1;BCOR;TAF2,276
Cd2bp2,SE,GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),141/5175,2.224041226079193e-17,3.0478523815830134,131.27712364510768,ATF2;GEMIN2;FMR1;JADE1;DCAF8;SMC5;RBPJ;RPL10A;VIRMA;UXT;PPP1CC;STK11;PPP4R2;RUVBL2;KAT7;CCNL2;KDM2B;FBXW11;NSMCE2;METTL3;TSC2;ARMC8;PRKAB1;GTF2F2;THOC7;MED7;THOC6;MAU2;RRAGB;BIN1;FANCD2;MSH3;GEMIN5;GEMIN8;ISCU;MYCBP2;COPS7B;PDS5B;OSGEP;BAG6;IRAK1;MIER1;KAT14;SEC31A;ATP6V0A1;BPTF;OSBPL9;CHTOP;PHC1;FANCL;BRPF3;XRCC3;FANCC;RFXANK;FANCE;LSM2;STAG1;DLG1;STAG2;TADA2A;LSM6;HOOK2;CNOT2;TADA3;MDM2;RNPS1;CDK12;RPS24;EZH2;EIF4G1;RBM26;NCAPG2;ZBTB8OS;FOXM1;MED15;CDC73;MED14;METTL14;SIN3A;UIMC1;SNAPC4;RBM7;POLE;KDM6A;TOP3B;NCOA2;PBRM1;SUN1;TBP;STRADA;STRADB;ACTR5;DNMT3A;MSL3;TERF1;TERF2;TTI2;MSL1;MED22;CREB1;TFDP2;MED20;MTF2;ERGIC2;ITGB3BP;BIRC2;LAMA5;POLDIP3;ABRAXAS1;MIS12;AMBRA1;RMND5B;CECR2;BCLAF1;GANAB;NFS1;MTA1;IGF2BP1;PCGF1;PMS2;ASCC3;MTA3;E2F6;PMS1;SLF1;TRMT10B;NAA10;PCGF5;SEPTIN2;NFYC;PCGF2;TPRKB;DTNBP1;APTX;RAD50;KANSL1;ERCC2;ERCC8;ACIN1;BCOR;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,DNA Repair (GO:0006281),24/291,4.515049335291682e-9,6.9402532548599964,185.13256463273387,UVRAG;CENPX;FANCM;FANCL;ABRAXAS1;FMR1;ACTR5;XRCC3;FANCC;PDS5B;FANCE;APTX;FANCG;RAD50;MTA1;FANCD2;MSH3;UIMC1;ERCC2;PMS2;ERCC8;ASCC3;POLE;PMS1,276
Cd2bp2,SE,GO_Biological_Process_2023,Chromatin Organization (GO:0006325),21/268,1.4338130233845437e-7,6.493879495117885,146.2678171845767,PBRM1;CHTOP;PHC1;KDM2B;PCGF2;ACTR5;ARID1B;CECR2;TADA2A;ZZZ3;MTA1;RUVBL2;MIER1;MTF2;PCGF1;KAT7;BCOR;MTA3;EZH2;BPTF;KDM6A,276
Cd2bp2,SE,GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),18/228,1.7830257314039631e-6,6.483056478405316,127.05445719028552,PBRM1;CHTOP;PHC1;KDM2B;PCGF2;ACTR5;ARID1B;CECR2;TADA2A;MTA1;RUVBL2;MIER1;MTF2;PCGF1;BCOR;MTA3;BPTF;KDM6A,276
Cd2bp2,SE,GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),20/319,8.933281803549951e-6,5.07551212374582,89.72194292835718,FBXW5;ANAPC16;FBXW11;FAF2;FBXO17;ARMC8;ERLIN2;AMBRA1;FBXL12;BAG6;RMND5B;MTA1;MDM2;ERCC8;RBCK1;ASCC3;BTRC;FBXL5;BIRC2;KLHDC10,276
Cd2bp2,SE,GO_Biological_Process_2023,Interstrand Cross-Link Repair (GO:0036297),8/36,8.933281803549951e-6,20.997867803837952,366.9509204473994,CENPX;FANCM;FANCL;FANCD2;XRCC3;FANCC;FANCE;FANCG,276
Cd2bp2,SE,GO_Biological_Process_2023,Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088),7/26,1.343210500936365e-5,26.987869301506553,455.7021084429455,PATJ;DLG1;DLG3;DLG5;SCRIB;PRKCZ;PALS1,276
Cd2bp2,SE,GO_Biological_Process_2023,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),8/40,1.5460093650311407e-5,18.369402985074625,304.76083534455046,PATJ;DLG1;DLG3;DLG5;SCRIB;SYNE4;PRKCZ;PALS1,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone Modification (GO:0016570),10/81,3.663091438381528e-5,10.406120936143175,162.27841290493126,MTA1;TADA2A;RUVBL2;MIER1;TADA3;JADE1;MSL3;KAT7;MTA3;KAT14,276
Cd2bp2,SE,GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),38/1195,1.0106287843920364e-4,2.5622117472745365,34.64543395163905,TSG101;EPB41;GEMIN2;FMR1;FAF2;PDS5B;AMBRA1;RBPJ;FOXM1;TENT4B;UXT;PPP1CC;SYCE2;IRAK1;KAT7;UTP20;RBM7;PLK4;ATP8B2;NAA10;MTX2;IDH3G;KRR1;TERF1;FANCE;APTX;FANCG;STAG1;STAG2;ZZZ3;LSM6;BIN1;FANCD2;ERCC2;MDM2;ERGIC2;EIF4G3;MAD1L1,276
Cd2bp2,SE,GO_Biological_Process_2023,Mitotic Recombination (GO:0006312),5/14,1.501396501058602e-4,40.41615416154161,563.8727468782296,RAD50;MSH3;NSMCE2;XRCC3;SMC5,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),17/298,1.501396501058602e-4,4.541571057585292,63.0863751643179,ANAPC16;ACTR5;METTL3;JADE1;TSC2;FOXM1;STK11;ZZZ3;TADA2A;BIN1;RUVBL2;TADA3;MDM2;KAT7;CCNL2;KAT14;BIRC2,276
Cd2bp2,SE,GO_Biological_Process_2023,"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",8/56,1.501396501058602e-4,12.2363184079602,169.66130631758313,MED22;MED14;MED20;KAT7;CDK12;MED15;CDC73;MED7,276
Cd2bp2,SE,GO_Cellular_Component_2023,Chromosome (GO:0005694),12/164,1.72886142340142e-4,5.8528708133971294,74.31459109336193,SYCE2;STAG1;PBRM1;STAG2;FANCD2;KRR1;FMR1;SMC5;KAT7;PDS5B;FANCE;SPIDR,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of DNA Metabolic Process (GO:0051052),11/124,1.746689849236841e-4,7.203907163132409,98.1680040825411,SLF1;RUVBL2;ACTR5;NSMCE2;TADA3;UIMC1;JADE1;SMC5;KAT7;TERF2;TAF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Multicellular Organismal Development (GO:2000026),8/59,1.9135287916333658e-4,11.514779045946737,154.94034323315165,BAG6;TADA2A;ZZZ3;BRPF3;RUVBL2;ACTR5;TADA3;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),7/43,2.307808494236916e-4,14.231309376290788,187.77250069492987,MED22;MED14;MED20;CDK12;MED15;CDC73;MED7,276
