Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,se_event,gene_number,db
DNA Repair Pathways Full Network WP4946,15/120,0.040347065295787035,3.4842182083561393,32.57786243205135,FANCL;MGMT;FANCC;FANCE;RAD54B;RAD52;RAD50;MSH3;FANCD2;NTHL1;ERCC2;PMS2;ERCC8;POLE;MUTYH,Cd2bp2,skipping,798,WikiPathway_2023_Human
Cilium Assembly R-HSA-5617833,22/186,0.005732205929563685,3.2910799597686697,39.94406380196469,CEP57;IQCB1;ODF2;SEPTIN2;SMOX;DYNLT2B;CSNK1D;HAUS6;ASAP1;LZTFL1;ATAT1;PCM1;ARL13B;IFT81;CENPJ;AKAP9;TRIP11;EXOC5;B9D2;IFT57;BBS5;EXOC1,Cd2bp2,skipping,798,Reactome_2022
Organelle Biogenesis And Maintenance R-HSA-1852241,27/275,0.008771575070189991,2.676446592192795,29.49044186616762,CEP57;CRTC1;DYNLT2B;ASAP1;NRF1;PCM1;ARL13B;IFT57;BBS5;IQCB1;NCOA2;MTX2;SEPTIN2;ODF2;SMOX;CSNK1D;HAUS6;TFB2M;LZTFL1;ATAT1;IFT81;CENPJ;AKAP9;TRIP11;EXOC5;B9D2;EXOC1,Cd2bp2,skipping,798,Reactome_2022
Ubiquitin mediated proteolysis,17/140,0.011070620107646839,3.3763571822658047,33.88799060375601,FBXW11;UBA6;FANCL;SMURF1;HUWE1;WWP1;KLHL13;UBE2J2;PML;UBE2W;ITCH;MDM2;ERCC8;TRIM37;BTRC;UBE2K;BIRC2,Cd2bp2,skipping,798,KEGG_2021_Human
Ubiquitin-mediated proteolysis,17/136,0.01789558389667711,3.4905798426925188,36.34466228860027,FBXW11;UBA6;FANCL;SMURF1;HUWE1;WWP1;KLHL13;UBE2J2;PML;UBE2W;ITCH;MDM2;ERCC8;TRIM37;BTRC;UBE2K;BIRC2,Cd2bp2,skipping,798,BioPlanet_2019
mTOR signaling pathway,15/113,0.01789558389667711,3.734459300961764,37.541338966732745,EIF4A2;CAB39;FBXW11;STRADA;VEGFB;TSC2;ATG13;PML;VEGFA;IKBKB;CLIP1;RRAGB;RPS6KB2;EIF4G3;EIF4G1,Cd2bp2,skipping,798,BioPlanet_2019
RNA Binding (GO:0003723),98/1411,2.4578538544239793e-5,1.9074333587204875,32.24555396012841,EIF4A2;RPL10A;EDC3;EIF4ENIF1;HMGN5;FBRSL1;CAST;RARS2;TYW5;ACTN1;METTL3;SRRM1;FAM133B;ZC3H11A;RPP21;GEMIN5;DUS3L;ANKRD17;MACF1;RCC1L;MTDH;DHX30;HNRNPDL;DHX33;DHX34;ERI3;LTA4H;LYAR;ZC3H14;SRPK2;TIA1;CHTOP;RBPMS;PUM2;SETX;MOV10;TBL2;LSM6;GOLGB1;RNPS1;HNRNPC;LSM14A;EIF4G3;SUGP2;RPS24;EIF4G1;TUT7;RBM26;CELF1;ZCCHC17;TENT4B;MTO1;YBX3;METTL14;RBM7;PSTK;TOP3B;PABPC4;TFB2M;TRNAU1AP;DDX50;PTBP2;REXO4;PTBP3;DUS2;SARS2;PKM;SLTM;TUT1;RBMS1;LUC7L2;RBM47;ROCK2;SRF;RBM4B;MTIF2;GANAB;BCLAF1;FLNB;RALY;ASCC3;SMNDC1;RBM39;TRMT10B;YTHDF2;MYEF2;YTHDF3;YLPM1;HUWE1;RSRC2;CDK11B;KTN1;NAP1L4;TNIP1;HNRNPA2B1;ZYX;ACIN1;R3HDM1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
mRNA Binding (GO:0003729),30/282,2.2933117539241597e-4,2.937437996031746,40.32228718915052,RBM47;CELF1;YBX3;EDC3;CRYZ;EIF4ENIF1;METTL14;DHX33;CHTOP;TIA1;MYEF2;YTHDF2;YTHDF3;RBPMS;PABPC4;METTL3;PTBP2;PUM2;PTBP3;PKM;HNRNPA2B1;TUT1;GEMIN5;RBMS1;RNPS1;HNRNPC;EIF4G3;LSM14A;LUC7L2;EIF4G1,Cd2bp2,skipping,798,GO_Molecular_Function_2023
Ubiquitin-Like Protein Transferase Activity (GO:0019787),27/240,2.2933117539241597e-4,3.1219926563270675,42.37574376275072,RNF14;KLHL13;RMND5B;TRIM68;BTRC;ATG3;HACE1;FBXW11;FANCL;SMURF1;HUWE1;WWP1;CHFR;PML;RNF146;UBE2W;ITCH;ATG16L1;TTC3;MDM2;ERCC8;TRIM37;BCOR;FBXL5;UBE2K;BIRC2;TRIM33,Cd2bp2,skipping,798,GO_Molecular_Function_2023
GTPase Binding (GO:0051020),25/225,5.279525647949362e-4,3.0727684346701163,38.26143314753751,RABGAP1;MYCBP2;AMBRA1;YBX3;FGD1;AKAP13;AP3M1;GOLGA4;DENND10;ARFIP2;ERC1;DNM1L;HACE1;PLEKHG2;SPHK2;TSC2;GAPVD1;CYRIB;RRAGB;ATG16L1;RAB34;SGSM2;TRIP11;RIN3;EXOC5,Cd2bp2,skipping,798,GO_Molecular_Function_2023
