ko_symbol,event,se_deg_overlapped
Cd2bp2,A3SS,Uxs1
Cd2bp2,A3SS,Nup188
Cd2bp2,A3SS,Orc5
Cd2bp2,A3SS,Pbrm1
Cd2bp2,A3SS,Slc22a17
Cd2bp2,A3SS,Slc35b1
Cd2bp2,A3SS,Skiv2l
Qk,A3SS,Mrgbp
Qk,A3SS,Uspl1
Qk,A3SS,Zfp444
Qk,A3SS,Gatad2a
Qk,A3SS,Haus8
Qk,A3SS,Dlgap5
Qk,A3SS,Hnrnpc
Qk,A3SS,Rhebl1
Qk,A3SS,Cdc25c
Rbm24,A3SS,Slc50a1
Rbm24,A3SS,Mad2l2
Rbm24,A3SS,U2af2
Rbm24,A3SS,1500009L16Rik
Rbm24,A3SS,Cdv3
Rbm24,A3SS,Bdp1
Rbm24,A3SS,Fbxw17
Rbm24,A3SS,Adamts10
Rbm24,A3SS,Mms19
Rpl22l1,A3SS,Snhg6
Rpl22l1,A3SS,Srrm1
Rpl22l1,A3SS,Gemin5
Rpl22l1,A3SS,Pcbp2
Rpl22l1,A3SS,Cacnb3
Rpl22l1,A3SS,Hdgfl2
Rpl22l1,A3SS,Skiv2l
Rpl22l1,A3SS,Fgf8
Spen,A3SS,Snhg8
Spen,A3SS,Zfp1
Spen,A3SS,Tma16
Spen,A3SS,Gatad2a
Spen,A3SS,Plpp5
Spen,A3SS,Rad23a
Spen,A3SS,Dlgap5
Spen,A3SS,Prxl2a
Spen,A3SS,Fbxw17
Spen,A3SS,Prrc2a
Spen,A3SS,Mms19
Strap,A3SS,Odf2
Strap,A3SS,Trp53bp1
Strap,A3SS,Trp53i11
Strap,A3SS,Otud4
Strap,A3SS,Tox3
Strap,A3SS,Prxl2a
Strap,A3SS,Sparc
Strap,A3SS,Ubr5
Strap,A3SS,Azin1
Strap,A3SS,Mtch1
Strap,A3SS,Mtpap
Strap,A3SS,Fgf8
Tra2b,A3SS,Mrgbp
Tra2b,A3SS,Zfas1
Tra2b,A3SS,Cnot3
Tra2b,A3SS,1500009L16Rik
Tra2b,A3SS,Cars2
Tra2b,A3SS,Rad23a
Tra2b,A3SS,Rbm7
Tra2b,A3SS,Mapk9
Tra2b,A3SS,Pcgf5
Tra2b,A3SS,Mms19
Tra2b,A3SS,Chuk
Tra2b,A3SS,Fgf8
Tra2b,A3SS,B3gat3
Trim71,A3SS,Poglut2
Trim71,A3SS,Dmtf1
Trim71,A3SS,Ncln
Trim71,A3SS,Brd7
Trim71,A3SS,Mthfsd
Trim71,A3SS,Slc38a10
Trim71,A3SS,Son
Trim71,A3SS,Uhrf1
Trim71,A3SS,Cuta
Ubr5,A3SS,Dhx9
Ubr5,A3SS,Sema4c
Ubr5,A3SS,Odf2
Ubr5,A3SS,Pank4
Ubr5,A3SS,Rfc1
Ubr5,A3SS,C2cd3
Ubr5,A3SS,2410006H16Rik
Ubr5,A3SS,Fbxw17
Ubr5,A3SS,Snx13
Ubr5,A3SS,Eif4g1
Ubr5,A3SS,Ddx11
Ubr5,A3SS,Prrc2a
Wt1,A3SS,Elf3
Wt1,A3SS,Snhg6
Wt1,A3SS,Fkbp1a
Wt1,A3SS,Nsd2
Wt1,A3SS,Htra2
Wt1,A3SS,Meis3
Wt1,A3SS,Mthfsd
Wt1,A3SS,Tcf25
Wt1,A3SS,Helz
Wt1,A3SS,Tmx3
Ybx1,A3SS,Elf3
Ybx1,A3SS,Ogt
Ybx1,A3SS,Supt20
Ybx1,A3SS,Ybx1
Ybx1,A3SS,Ankrd17
Ybx1,A3SS,Setd5
Ybx1,A3SS,Ino80e
Ybx1,A3SS,Fbxo17
Ybx1,A3SS,Prdm4
Ybx1,A3SS,Tox3
Ybx1,A3SS,Cdca7l
Ybx1,A3SS,Cox16
Ybx1,A3SS,Skiv2l
Ybx1,A3SS,Fgf8
Cd2bp2,A5SS,Mcph1
Cd2bp2,A5SS,Rce1
Qk,A5SS,Sugp2
Qk,A5SS,Cfl2
Rbm24,A5SS,Unk
Rpl22l1,A5SS,Usf1
Rpl22l1,A5SS,Gnl3l
Rpl22l1,A5SS,Bhlhb9
Rpl22l1,A5SS,Alms1
Rpl22l1,A5SS,Brd4
Rpl22l1,A5SS,Fgf8
Spen,A5SS,Med12
Spen,A5SS,Zfand1
Spen,A5SS,Map7d1
Spen,A5SS,Clasrp
Spen,A5SS,Tmem80
Spen,A5SS,Meis3
Spen,A5SS,Gatad2a
Spen,A5SS,Tmem161a
Spen,A5SS,Cbfb
Spen,A5SS,Pbrm1
Strap,A5SS,Pea15a
Strap,A5SS,Arid1a
Strap,A5SS,Zfp637
Strap,A5SS,Otud4
Strap,A5SS,Sec14l4
Strap,A5SS,Eno3
Strap,A5SS,Tatdn1
Strap,A5SS,Mtch1
Tra2b,A5SS,Clasp1
Tra2b,A5SS,Oip5os1
Tra2b,A5SS,Meis3
Tra2b,A5SS,Gm10275
Tra2b,A5SS,Cbfb
Tra2b,A5SS,Pum2
Tra2b,A5SS,Chuk
Trim71,A5SS,Abraxas1
Trim71,A5SS,Tle3
Trim71,A5SS,Srek1ip1
Trim71,A5SS,Gm47283
Ubr5,A5SS,Ccnt2
Ubr5,A5SS,Ncoa5
Ubr5,A5SS,Snhg17
Ubr5,A5SS,Tmem234
Ubr5,A5SS,2410006H16Rik
Ubr5,A5SS,Cfl2
Wt1,A5SS,Tmem234
Wt1,A5SS,Sfswap
Wt1,A5SS,Htra2
Wt1,A5SS,Ogg1
Wt1,A5SS,Clasrp
Wt1,A5SS,Tmem80
Wt1,A5SS,Meis3
Wt1,A5SS,Prkcd
Wt1,A5SS,Trmt61a
Wt1,A5SS,Chrd
Wt1,A5SS,Fam234a
Ybx1,A5SS,Odf2
Ybx1,A5SS,Supt20
Ybx1,A5SS,Grb7
Ybx1,A5SS,Ufd1
Cd2bp2,MXE,Tmbim6
Qk,MXE,Dlg1
Rpl22l1,MXE,Ap3m1
Rpl22l1,MXE,Ppcdc
Spen,MXE,Cenpn
Spen,MXE,Kdm3b
Strap,MXE,Gas5
Strap,MXE,Mettl5
Strap,MXE,Hnrnpdl
Strap,MXE,Slc7a7
Strap,MXE,Ppp4r3b
Strap,MXE,Sec14l4
Tra2b,MXE,Rexo4
Tra2b,MXE,Cln3
Tra2b,MXE,Nae1
Tra2b,MXE,Mthfsd
Tra2b,MXE,Tedc1
Trim71,MXE,Abraxas1
Trim71,MXE,Coq9
Trim71,MXE,Mthfsd
Ubr5,MXE,Tmem234
Ubr5,MXE,Hnrnpdl
Wt1,MXE,Egfl7
Wt1,MXE,Prps2
Wt1,MXE,Tmem234
Wt1,MXE,Hnrnpdl
Wt1,MXE,Mthfsd
Ybx1,MXE,Hnrnpdl
Ybx1,MXE,Ptdss2
Ybx1,MXE,Rbm34
Ybx1,MXE,Pibf1
Cd2bp2,RI,Ino80e
Cd2bp2,RI,Slc22a17
Cd2bp2,RI,Nle1
Cd2bp2,RI,Mtdh
Cd2bp2,RI,Skiv2l
Cd2bp2,RI,Ddb1
Qk,RI,Mrgbp
Qk,RI,Tgif2
Qk,RI,Uspl1
Qk,RI,Pole
Qk,RI,Gsk3a
Qk,RI,Map1s
Qk,RI,Ephb3
Qk,RI,1810009A15Rik
Rbm24,RI,Slc50a1
Rbm24,RI,Ensa
Rbm24,RI,Chrd
Rbm24,RI,Skiv2l
Rbm24,RI,Adamts10
Rpl22l1,RI,Snhg6
Rpl22l1,RI,Prpf18
Rpl22l1,RI,Abtb1
Rpl22l1,RI,Mlf2
Rpl22l1,RI,Hnrnpc
Rpl22l1,RI,Dcxr
Rpl22l1,RI,Fkbp3
Rpl22l1,RI,Hdgfl2
Rpl22l1,RI,Skiv2l
Rpl22l1,RI,Brd4
Rpl22l1,RI,Cdc25c
Spen,RI,Poglut2
Spen,RI,Med12
Spen,RI,Hmgn2
Spen,RI,Clasrp
Spen,RI,Rusf1
Spen,RI,Clcn4
Spen,RI,Mdm2
Spen,RI,Plpp5
Spen,RI,2410006H16Rik
Spen,RI,Luc7l
Spen,RI,Mms19
Spen,RI,Eml3
Strap,RI,Gas5
Strap,RI,Hmgn2
Strap,RI,Tra2a
Strap,RI,Eif5
Strap,RI,Snhg1
Strap,RI,1810009A15Rik
Tra2b,RI,Lmbrd1
Tra2b,RI,Mrgbp
Tra2b,RI,Zfas1
Tra2b,RI,Commd7
Tra2b,RI,Psrc1
Tra2b,RI,Ccdc107
Tra2b,RI,Clasrp
Tra2b,RI,Mdm2
Tra2b,RI,Ufsp2
Tra2b,RI,Nae1
Tra2b,RI,Plpp5
Tra2b,RI,Aprt
Tra2b,RI,Reep4
Tra2b,RI,Aspscr1
Tra2b,RI,Srebf2
Tra2b,RI,Rpl3
Tra2b,RI,Mms19
Trim71,RI,Poglut2
Trim71,RI,Ssr4
Trim71,RI,Hmgn2
Trim71,RI,Abraxas1
Trim71,RI,Camk2g
Trim71,RI,Dlst
Trim71,RI,Espl1
Trim71,RI,Cuta
Ubr5,RI,Tyro3
Ubr5,RI,Snhg17
Ubr5,RI,Hmgn2
Ubr5,RI,Mdm2
Ubr5,RI,2410006H16Rik
Ubr5,RI,Dlst
Ubr5,RI,Ddx11
Ubr5,RI,Rgl2
Wt1,RI,Surf1
Wt1,RI,Ints3
Wt1,RI,Hmgn2
Wt1,RI,Htra2
Wt1,RI,Ino80e
Wt1,RI,Clasrp
Wt1,RI,Meis3
Wt1,RI,Znrf1
Wt1,RI,Crtc1
Wt1,RI,Gadd45g
Wt1,RI,Fkbp3
Ybx1,RI,Slc50a1
Ybx1,RI,Krtcap3
Ybx1,RI,Phc1
Ybx1,RI,Ino80e
Ybx1,RI,Aprt
Ybx1,RI,Taf1d
Ybx1,RI,Luc7l3
Ybx1,RI,Hsf1
Ybx1,RI,Nolc1
Ybx1,RI,Prdx5
Cd2bp2,SE,Rps6kc1
Cd2bp2,SE,Uap1
Cd2bp2,SE,Nmt2
Cd2bp2,SE,Kif4
Cd2bp2,SE,Hsdl2
Cd2bp2,SE,Ufsp2
Cd2bp2,SE,Mcph1
Cd2bp2,SE,Mcoln1
Cd2bp2,SE,Zmym2
Cd2bp2,SE,Pbrm1
Cd2bp2,SE,Slc22a17
Cd2bp2,SE,Cd276
Cd2bp2,SE,Tada2a
Cd2bp2,SE,Selenoo
Cd2bp2,SE,Mtdh
Cd2bp2,SE,Trappc8
Cd2bp2,SE,Ganab
Qk,SE,Cyb5r1
Qk,SE,Igsf9
Qk,SE,Mrgbp
Qk,SE,Pkig
Qk,SE,Kif4
Qk,SE,Kdm5c
Qk,SE,Ythdf3
Qk,SE,Uspl1
Qk,SE,Pole
Qk,SE,Atraid
Qk,SE,Acads
Qk,SE,Plxna1
Qk,SE,Sgce
Qk,SE,Gapdh
Qk,SE,Gmfg
Qk,SE,Serpinh1
Qk,SE,Supt5
Qk,SE,Zfp930
Qk,SE,Sugp2
Qk,SE,Katnb1
Qk,SE,Setd6
Qk,SE,Syce2
Qk,SE,Zdhhc20
Qk,SE,Sec24c
Qk,SE,Lztfl1
Qk,SE,Dhrs13
Qk,SE,Ptk2
Qk,SE,Donson
Qk,SE,Nit2
Qk,SE,Dlg1
Qk,SE,Kctd20
Qk,SE,Gm20517
Qk,SE,Cbwd1
Qk,SE,Gm49405
Qk,SE,Cdc37l1
Rbm24,SE,Enah
Rbm24,SE,Rps6kc1
Rbm24,SE,Dst
Rbm24,SE,Dnttip1
Rbm24,SE,Slc2a8
Rbm24,SE,Kif4
Rbm24,SE,Trappc14
Rbm24,SE,Gtf2i
Rbm24,SE,Tm2d3
Rbm24,SE,Serpinh1
Rbm24,SE,Wwc2
Rbm24,SE,Mcoln1
Rbm24,SE,Rfx1
Rbm24,SE,Wapl
Rbm24,SE,Unk
Rbm24,SE,Wbp2
Rbm24,SE,Armc7
Rbm24,SE,Gpatch2l
Rbm24,SE,Fancm
Rbm24,SE,Card10
Rbm24,SE,Chrd
Rbm24,SE,Adamts10
Rbm24,SE,Bag6
Rbm24,SE,Greb1l
Rbm24,SE,Mms19
Rbm24,SE,Kdm2a
Rpl22l1,SE,Arfgap1
Rpl22l1,SE,Itch
Rpl22l1,SE,Nnat
Rpl22l1,SE,Dnttip1
Rpl22l1,SE,Tasp1
Rpl22l1,SE,Kif4
Rpl22l1,SE,Atp8b2
Rpl22l1,SE,Rere
Rpl22l1,SE,Map7d1
Rpl22l1,SE,Chfr
Rpl22l1,SE,Rbm47
Rpl22l1,SE,Fancd2
Rpl22l1,SE,Ctsc
Rpl22l1,SE,Agpat3
Rpl22l1,SE,Mcoln1
Rpl22l1,SE,Cherp
Rpl22l1,SE,Zfp219
