Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,type,gene_number,db
Retrograde Axonal Transport (GO:0008090),5/15,0.018292451610299312,23.291666666666668,266.6667124210192,DST;KIF5B;MAP1A;KIF1A;SOD1,Cd2bp2,deg,425,GO_Biological_Process_2023
RNA Binding (GO:0003723),191/1411,2.107375750796972e-9,1.831314946698916,48.62927175174762,EIF4A2;TFRC;FMR1;NUDT1;PPAN;APEH;RPL10A;VIRMA;EDC3;TIAL1;EIF4ENIF1;PPP1CC;ENDOV;HMGN5;FBRSL1;HMGN2;CAST;DDX17;RARS2;MBNL1;TYW5;ACTN1;DDX11;METTL3;CIRBP;ALG13;CSNK1E;THOC2;GTPBP1;GTPBP4;JMJD6;SRRM1;FAM133B;ILF3;ZC3H11A;RPP21;GEMIN5;SRFBP1;DUS3L;ANKRD17;UTP25;MACF1;AARS2;YTHDC1;ZCCHC9;NOLC1;GIGYF2;RCC1L;MTDH;DHX30;HNRNPDL;DHX33;PCBP3;DHX34;ERI3;SERPINH1;SAFB2;KHDC4;UTP20;LTA4H;RBM12;LYAR;ZC3H14;MARK2;SRPK2;CPSF4;TIA1;CHTOP;ZRANB2;RBPMS;HMGA1;KNOP1;LARP7;PRRC2C;HELZ;LSM5;PUM1;ANKHD1;PRRC2B;LSM2;PUM2;SRPK1;SETX;MOV10;HNRNPM;LSM7;TBL2;LSM6;CNOT1;GOLGB1;RNPS1;HNRNPC;ALDH18A1;FARSA;LSM14A;EIF4G3;DZIP3;SUGP2;RPS24;EIF4G1;TOP2A;RBM25;TUT7;RBM26;CELF1;FASTKD3;KRI1;ZCCHC17;TENT4B;MTO1;YBX3;METTL14;ZC3H7B;LRRFIP1;RBM7;PSTK;DSP;TOP3B;ZC3H10;PABPC4;PRPF40B;DARS2;PRPF40A;TFB2M;TRNAU1AP;PPRC1;DDX50;PTBP2;REXO4;GNL3;PTBP3;DUS2;DALRD3;PKM;SARS2;SLTM;HNRNPH1;ESRP1;RPUSD3;TUT1;RBMS1;EIF4E2;LUC7L2;RBM47;STAU1;ROCK2;POLDIP3;SRF;SRRT;AKAP8;RBM4B;MTIF2;MTHFSD;GANAB;BCLAF1;UNK;U2AF2;IGF2BP1;FLNB;RALY;ASCC3;HEATR6;EXOSC2;SMNDC1;ABCF1;PTCD3;RBM39;TRMT10B;YTHDF2;MYEF2;YTHDF3;KRR1;YLPM1;HUWE1;RSRC2;TRMT1;RRP1B;APTX;CDK11B;KTN1;NAP1L4;SEC23IP;TNIP1;CCDC9;SERBP1;HNRNPA2B1;ZYX;ACIN1;TARDBP;R3HDM1;R3HDM2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
GTPase Binding (GO:0051020),47/225,9.214773456280584e-7,2.9831495611828496,59.0085181394594,USP6NL;NCKAP1;BECN1;RABGAP1;GARRE1;USP33;MYCBP2;DOCK7;ARHGAP1;GCC2;AMBRA1;YBX3;FGD1;RASIP1;STRN3;AKAP13;AP3M1;GOLGA4;KIF3A;DENND10;ARFIP2;ERC1;DNM1L;HACE1;ANKRD27;PLEKHG2;SPHK2;ARHGEF16;HPS4;TSC2;MYO9B;OCRL;GAPVD1;CYRIB;RABGGTA;LSM2;RRAGB;ATG16L1;RAB34;SGSM2;PEX5;RAB3GAP2;TRIP11;RIN3;ARHGEF2;EXOC5;PICALM,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Ubiquitin-Like Protein Transferase Activity (GO:0019787),48/240,1.8513582712118886e-6,2.824051026757934,52.746066958442505,RNF13;RNF14;FBXO25;UBE3A;KLHL13;RMND5B;RNF214;SHARPIN;ARIH2;MARCHF8;TRIM68;BTRC;UBE2F;ATG3;HACE1;UBE2B;FBXW11;FANCL;SMURF1;NSMCE2;HUWE1;WWP1;TRAF2;FBXW2;CHFR;PML;RNF146;UBE2W;TRAF7;ITCH;ATG16L1;TTC3;MDM2;RNF181;ERCC8;BIRC6;TRIM37;RBCK1;BCOR;FBXL5;CBLL1;RNF141;UBE2K;TRIM11;DZIP3;BIRC2;TRIM33;FBXL6,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Small GTPase Binding (GO:0031267),42/199,2.3307441542640226e-6,3.0164783743548638,54.777733518318286,USP6NL;NCKAP1;RABGAP1;GARRE1;USP33;MYCBP2;DOCK7;ARHGAP1;GCC2;YBX3;FGD1;STRN3;AKAP13;AP3M1;GOLGA4;KIF3A;DENND10;ARFIP2;ERC1;DNM1L;HACE1;ANKRD27;PLEKHG2;SPHK2;ARHGEF16;HPS4;TSC2;MYO9B;OCRL;GAPVD1;CYRIB;RABGGTA;LSM2;RAB34;SGSM2;PEX5;RAB3GAP2;TRIP11;RIN3;ARHGEF2;EXOC5;PICALM,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
mRNA Binding (GO:0003729),49/282,7.540735132091582e-5,2.3717069572793013,34.294022732056185,RBM25;CELF1;FMR1;YBX3;EDC3;TIAL1;EIF4ENIF1;METTL14;DDX17;PABPC4;METTL3;CIRBP;THOC2;PTBP2;GNL3;PTBP3;PKM;ESRP1;TUT1;GEMIN5;RBMS1;LUC7L2;RBM47;YTHDC1;POLDIP3;TYMS;CRYZ;UNK;DHX33;PCBP3;IGF2BP1;CHTOP;TIA1;MYEF2;YTHDF2;YTHDF3;RBPMS;LARP7;PUM1;PUM2;HNRNPM;HNRNPA2B1;SERBP1;RNPS1;HNRNPC;TARDBP;EIF4G3;LSM14A;EIF4G1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
GTPase Regulator Activity (GO:0030695),63/424,4.5944325850568764e-4,1.9714082879772825,24.583865901625376,USP6NL;DENND1C;DOCK6;GPSM2;FAM13B;ITSN1;DOCK7;ARHGAP1;RCBTB2;AKAP13;SYDE1;HERC2;SIPA1L1;DENND10;SIRPA;DNM1L;TBC1D22A;TBC1D22B;GARNL3;RALGPS2;PLEKHG2;RALGAPA1;STARD8;ARHGEF16;ARHGEF19;TSC2;OCRL;GAPVD1;TIAM1;RP2;SPATA13;PREB;RIN3;DENND6B;ARHGEF2;DEPDC5;LLGL1;TBC1D9B;RABGAP1;NPRL3;MYCBP2;ARHGAP19;AGAP1;ARHGAP17;ASAP1;FGD1;RCC1L;RIC8A;RACGAP1;CHN1;TBC1D14;BRD8;TBC1D17;ANKRD27;HPS4;MYO9B;CCDC88A;SGSM2;RAB3GAP2;RGS12;RGL2;NUCB2;MON1A,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
mRNA 3'-UTR Binding (GO:0003730),22/93,5.389088785069545e-4,3.4674624600018973,42.15228880379583,DDX17;RBM47;TIA1;CELF1;FMR1;PABPC4;CIRBP;PUM1;YBX3;CRYZ;PUM2;TIAL1;ILF3;HNRNPA2B1;SERBP1;IGF2BP1;GEMIN5;RBMS1;TUT1;RNPS1;HNRNPC;TARDBP,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Protein Serine/Threonine Kinase Activity (GO:0004674),53/342,5.878307028188555e-4,2.066983744367983,24.671723842842415,ARAF;ILK;IKBKB;RPS6KA6;STK11;CHEK2;STK16;TLK2;TLK1;CHUK;DAPK2;MINK1;CSNK1D;VRK1;CSNK1E;PRKAB1;MELK;SIK2;CSNK1G2;CAMK1G;ROCK2;PRKCZ;MAPK7;IRAK1;STK38;PHKG2;MAP4K5;MARK3;CAMK2G;MARK2;BRD4;MAP4K4;PAK4;MAP2K6;PLK4;SRPK2;NEK9;LIMK2;MOK;CDC7;CLK4;CDK11B;SRPK1;HIPK2;CLK2;CLK1;BCKDK;CDK8;STK25;STK26;RPS6KB2;CDK12;MAP3K12,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Nuclear Receptor Binding (GO:0016922),24/115,0.001538754895056637,2.9517116850041436,31.982788890323455,NCOA2;TCF7L2;KDM4C;RNF14;WBP2;BUD31;NCOA3;HMGA1;ARID1A;ISL1;HIF1A;FOXP1;DCAF1;MED12;MED22;MED14;NCOR1;CNOT1;NSD1;TADA3;TRIM68;MMS19;BRD8;GAS2L1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
