target_symbol,n,spliceosome,family
U2af2,5,U1 snRNP,e_complex
U2af2,5,U1 snRNP,a_complex
U2af2,5,U1 snRNP,b_complex
Bcas2,4,NTC,bact_complex
Bcas2,4,NTC,c_and_c_complex
Bcas2,4,NTC,p_and_ils_complex
Slu7,4,C* complex specific,c_and_c_complex
Slu7,4,C* complex specific,p_and_ils_complex
Snrpa1,4,U2 snRNP,a_complex
Snrpa1,4,U2 snRNP,pre_b_complex
Snrpa1,4,U2 snRNP,b_complex
Snrpa1,4,U2 snRNP,bact_complex
Snrpa1,4,U2 snRNP,c_and_c_complex
Snrpa1,4,U2 snRNP,p_and_ils_complex
Xab2,4,NTC,bact_complex
Xab2,4,NTC,c_and_c_complex
Xab2,4,NTC,p_and_ils_complex
Casc3,3,EJC,c_and_c_complex
Casc3,3,EJC,p_and_ils_complex
Ppig,3,Other PPIs,c_and_c_complex
Sf1,2,U1 snRNP,e_complex
Sf1,2,U1 snRNP,a_complex
Snrnp70,2,U1 snRNP,e_complex
Snrnp70,2,U1 snRNP,a_complex
Snrpc,2,U1 snRNP,e_complex
Snrpc,2,U1 snRNP,a_complex
Wbp4,2,B complex specific,b_complex
Aqr,1,NTR,bact_complex
Aqr,1,NTR,c_and_c_complex
Aqr,1,NTR,p_and_ils_complex
Bud31,1,NTR,bact_complex
Bud31,1,NTR,c_and_c_complex
Bud31,1,NTR,p_and_ils_complex
Cwc27,1,RES,bact_complex
Ncbp1,1,CAP binding,b_complex
Ppie,1,RES,bact_complex
Ppie,1,RES,c_and_c_complex
Ppie,1,RES,p_and_ils_complex
Ppwd1,1,Other PPIs,c_and_c_complex
Prkrip1,1,C* complex specific,c_and_c_complex
Prkrip1,1,C* complex specific,p_and_ils_complex
Prkrip1,1,C* complex specific,c_and_c_complex
Prkrip1,1,C* complex specific,p_and_ils_complex
Prpf3,1,Tri-snRNP,pre_b_complex
Prpf3,1,Tri-snRNP,b_complex
Prpf4,1,Tri-snRNP,pre_b_complex
Prpf4,1,Tri-snRNP,b_complex
Rbmx2,1,RES,bact_complex
Srrm2,1,Splicing factor,bact_complex
Srrm2,1,Splicing factor,c_and_c_complex
Srrm2,1,Splicing factor,p_and_ils_complex
U2af1,1,U1 snRNP,e_complex
U2af1,1,U1 snRNP,a_complex
U2af1,1,U1 snRNP,b_complex
Snrpa,0,U1 snRNP,e_complex
Snrpa,0,U1 snRNP,a_complex
