# packages in environment at /home/aki/miniforge/envs/mieru:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
alsa-lib                  1.2.13               hb9d3cd8_0    conda-forge
anyio                     4.7.0              pyhd8ed1ab_0    conda-forge
argcomplete               3.5.2              pyhd8ed1ab_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_1    conda-forge
argon2-cffi-bindings      21.2.0          py311h9ecbd09_5    conda-forge
arrow                     1.3.0              pyhd8ed1ab_1    conda-forge
asttokens                 3.0.0              pyhd8ed1ab_1    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_1    conda-forge
attrs                     24.3.0             pyh71513ae_0    conda-forge
babel                     2.16.0             pyhd8ed1ab_1    conda-forge
beautifulsoup4            4.12.3             pyha770c72_1    conda-forge
bedtools                  2.31.1               h13024bc_3    bioconda
binutils_impl_linux-64    2.43                 h4bf12b8_2    conda-forge
bioconductor-biobase      2.66.0            r44h3df3fcb_0    bioconda
bioconductor-biocgenerics 0.52.0            r44hdfd78af_0    bioconda
bioconductor-biocparallel 1.40.0            r44he5774e6_0    bioconda
bioconductor-data-packages 20241220             hdfd78af_0    bioconda
bioconductor-delayedarray 0.32.0            r44h3df3fcb_0    bioconda
bioconductor-deseq2       1.46.0            r44he5774e6_0    bioconda
bioconductor-ebseq        2.4.0             r44he5774e6_0    bioconda
bioconductor-genomeinfodb 1.42.0            r44hdfd78af_0    bioconda
bioconductor-genomeinfodbdata 1.2.13            r44hdfd78af_0    bioconda
bioconductor-genomicranges 1.58.0            r44h3df3fcb_0    bioconda
bioconductor-iranges      2.40.0            r44h3df3fcb_0    bioconda
bioconductor-matrixgenerics 1.18.0            r44hdfd78af_0    bioconda
bioconductor-s4arrays     1.6.0             r44h3df3fcb_0    bioconda
bioconductor-s4vectors    0.44.0            r44h3df3fcb_0    bioconda
bioconductor-sparsearray  1.6.0             r44h3df3fcb_0    bioconda
bioconductor-summarizedexperiment 1.36.0            r44hdfd78af_0    bioconda
bioconductor-ucsc.utils   1.2.0             r44hdfd78af_0    bioconda
bioconductor-xvector      0.46.0            r44h15a9599_0    bioconda
bioconductor-zlibbioc     1.52.0            r44h3df3fcb_0    bioconda
bleach                    6.2.0              pyhd8ed1ab_1    conda-forge
brotli                    1.1.0                hb9d3cd8_2    conda-forge
brotli-bin                1.1.0                hb9d3cd8_2    conda-forge
brotli-python             1.1.0           py311hfdbb021_2    conda-forge
bwidget                   1.10.1               ha770c72_0    conda-forge
bzip2                     1.0.8                h4bc722e_7    conda-forge
c-ares                    1.34.4               hb9d3cd8_0    conda-forge
ca-certificates           2025.1.31            hbcca054_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cairo                     1.18.2               h3394656_1    conda-forge
certifi                   2025.1.31          pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py311hf29c0ef_0    conda-forge
charset-normalizer        3.4.0              pyhd8ed1ab_1    conda-forge
comm                      0.2.2              pyhd8ed1ab_1    conda-forge
contourpy                 1.3.1           py311hd18a35c_0    conda-forge
curl                      8.11.1               h332b0f4_0    conda-forge
cycler                    0.12.1             pyhd8ed1ab_1    conda-forge
